"rowname"	"P_ILM_L2_B1_D5_1"	"P_ILM_L2_B1_D5_2"	"P_ILM_L2_B1_D5_3"	"P_ILM_L2_B1_D6_1"	"P_ILM_L2_B1_D6_2"	"P_ILM_L2_B1_D6_3"	"P_ILM_L2_B1_F7_1"	"P_ILM_L2_B1_F7_2"	"P_ILM_L2_B1_F7_3"	"P_ILM_L2_B1_M8_1"	"P_ILM_L2_B1_M8_2"	"P_ILM_L2_B1_M8_3"
"ENSG00000000419"	5.476	5.393	5.45	5.599	5.528	5.359	5.369	5.394	5.394	5.352	5.299	5.298
"ENSG00000000457"	2.386	2.139	2.126	1.696	2.104	2.064	2.184	1.859	1.877	2.202	1.912	2.198
"ENSG00000000460"	0.491	0.666	0.613	0.373	0.2	0.559	0.23	0.402	0.172	1.033	1.065	1.106
"ENSG00000000938"	4.36	4.263	4.323	5.939	5.802	5.78	5.6	5.68	5.706	5.621	5.643	5.502
"ENSG00000001036"	3.393	3.442	3.338	3.764	3.85	3.945	4.01	3.966	4.085	3.655	3.629	3.69
"ENSG00000001084"	1.546	1.689	1.624	1.32	1.445	1.162	0.974	1.254	1.266	1.402	1.382	1.084
"ENSG00000001167"	3.375	3.502	3.497	3.19	3.311	3.294	3.297	3.245	3.331	3.355	3.37	3.463
"ENSG00000001460"	-0.995	-0.785	-0.71	-0.761	-0.852	-0.461	-0.699	-0.353	-0.491	-0.766	-0.837	-1.153
"ENSG00000001461"	1.712	1.759	1.755	1.633	1.743	1.766	1.668	1.67	1.639	1.467	1.523	1.435
"ENSG00000001497"	3.289	3.343	3.281	2.977	3.158	3.025	3.094	3.11	3.158	2.989	2.99	3.094
"ENSG00000001561"	2.747	2.715	2.711	3.091	3.202	3.179	3.698	3.63	3.721	3.616	3.598	3.561
"ENSG00000001629"	4.283	4.332	4.285	4.345	4.423	4.453	4.439	4.347	4.43	4.448	4.409	4.538
"ENSG00000001630"	4.129	4.147	4.08	3.999	4.079	4.123	4.058	4.021	4.1	4.397	4.464	4.445
"ENSG00000001631"	2.927	2.993	2.877	3.001	3.06	3.169	3.189	3.225	3.288	3.207	3.361	3.321
"ENSG00000002016"	0.728	0.823	0.612	0.695	0.678	0.621	0.503	0.662	0.658	0.637	0.548	0.413
"ENSG00000002330"	2.519	2.736	2.771	3.248	3.156	2.834	2.878	3.103	3.009	2.866	2.745	2.778
"ENSG00000002549"	5.761	5.724	5.747	5.558	5.585	5.623	5.474	5.437	5.539	5.733	5.69	5.705
"ENSG00000002586"	3.005	3.001	3.012	2.21	2.548	2.453	2.793	2.752	2.75	2.782	2.774	2.778
"ENSG00000002587"	-2.012	-2.055	-2.097	-2.411	-2.417	-2.151	-3.173	-2.246	-2.967	-1.382	-1.403	-1.195
"ENSG00000002745"	-3.725	-4.026	-2.922	-1.822	-2.3	-2.883	-1.84	-1.511	-1.775	-3.011	-2.473	-2.157
"ENSG00000002822"	2.295	2.232	2.423	2.597	2.33	2.381	2.192	2.074	2.338	2.497	2.596	2.476
"ENSG00000002834"	3.02	3.236	3.179	3.183	3.432	3.322	3.243	3.268	3.298	3.639	3.634	3.398
"ENSG00000002919"	3.594	3.843	3.884	4.626	4.552	4.807	4.472	4.659	4.543	4.599	4.393	4.338
"ENSG00000003056"	4.281	4.201	4.176	4.045	4.076	4.218	3.814	3.851	3.87	4.107	4.15	4.212
"ENSG00000003096"	-4.757	-4.051	-3.983	-2.198	-1.985	-2.295	-2.129	-1.711	-1.824	-1.224	-1.215	-0.852
"ENSG00000003147"	-1.764	-2.039	-1.462	-2.071	-2.652	-2.055	-1.911	-1.778	-1.919	-2.636	-2.877	-3.007
"ENSG00000003249"	0.039	-0.217	-0.042	0.486	0.489	0.438	1.865	2.09	2.14	3.038	3.101	2.979
"ENSG00000003393"	0.8	0.869	0.808	0.955	1.126	1.17	1.425	1.425	1.365	1.162	1.091	1.107
"ENSG00000003400"	-0.102	-0.515	-0.508	-0.091	-0.26	-0.198	-0.558	-0.623	0.982	-0.096	0.05	-0.225
"ENSG00000003402"	3.055	3.053	2.997	4.021	4.088	4.043	4.053	3.884	3.901	3.467	3.493	3.553
"ENSG00000003509"	2.759	2.835	2.792	2.888	3.025	2.914	2.801	2.721	2.779	2.841	2.827	2.744
"ENSG00000003756"	3.972	3.959	3.961	4	4.046	4.075	4.107	4.151	4.153	4.298	4.392	4.381
"ENSG00000003987"	-1.265	-1.016	-1.246	-1.315	-1.396	-1.195	-1.236	-1.094	-1.023	-1.244	-1.071	-1.275
"ENSG00000004059"	4.249	4.049	4.126	4.32	4.13	4.142	4.21	4.201	4.13	4.367	4.278	4.321
