file	condition	lab	A
1	s.3	A	lab1	0
2	s.4	A	lab1	0
3	s.8	A	lab1	0
4	s.9	A	lab1	0
5	s.12	A	lab1	0
6	s.17	A	lab1	0
7	s.19	A	lab1	0
8	s.20	A	lab1	0
9	s.23	A	lab1	0
10	s.24	A	lab1	0
11	s.25	A	lab1	0
12	s.32	A	lab1	0
13	s.36	A	lab1	0
14	s.37	A	lab1	0
15	s.39	A	lab1	0
16	s.43	A	lab1	0
17	s.44	A	lab1	0
18	s.45	A	lab1	0
19	s.46	A	lab1	0
20	s.48	A	lab1	0
21	s.49	A	lab1	0
22	s.51	A	lab1	0
23	s.52	A	lab1	0
24	s.53	A	lab1	0
25	s.54	A	lab1	0
26	s.55	A	lab1	0
27	s.56	A	lab1	0
28	s.57	A	lab1	0
29	s.61	A	lab1	0
30	s.64	A	lab1	0
31	s.68	A	lab1	0
32	s.70	A	lab1	0
33	s.73	A	lab1	0
34	s.75	A	lab1	0
35	s.76	A	lab1	0
36	s.80	A	lab1	0
37	s.82	A	lab1	0
38	s.85	A	lab1	0
39	s.87	A	lab1	0
40	s.88	A	lab1	0
41	s.93	A	lab1	0
42	s.96	A	lab1	0
43	s.107	A	lab1	0
44	s.108	A	lab1	0
45	s.110	A	lab1	0
46	s.115	A	lab1	0
47	s.119	A	lab1	0
48	s.131	A	lab1	0
49	s.132	A	lab1	0
50	s.134	A	lab1	0
51	s.140	A	lab1	0
52	s.145	A	lab1	0
53	s.149	A	lab1	0
54	s.150	A	lab1	0
55	s.165	A	lab1	0
56	s.167	A	lab1	0
57	s.177	A	lab1	0
58	s.182	A	lab1	0
59	s.183	A	lab1	0
60	s.184	A	lab1	0
61	s.186	A	lab1	0
62	s.187	A	lab1	0
63	s.188	A	lab1	0
64	s.190	A	lab1	0
65	s.193	A	lab1	0
66	s.197	A	lab1	0
67	s.202	A	lab1	0
68	s.203	A	lab1	0
69	s.204	A	lab1	0
70	s.205	A	lab1	0
71	s.210	A	lab1	0
72	s.211	A	lab1	0
73	s.216	A	lab1	0
74	s.217	A	lab1	0
75	s.218	A	lab1	0
76	s.223	A	lab1	0
77	s.227	A	lab1	0
78	s.230	A	lab1	0
79	s.231	A	lab1	0
80	s.232	A	lab1	0
81	s.233	A	lab1	0
82	s.236	A	lab1	0
83	s.239	A	lab1	0
84	s.240	A	lab1	0
85	s.248	A	lab1	0
86	s.252	A	lab1	0
87	s.255	A	lab1	0
88	s.256	A	lab1	0
89	s.263	A	lab1	0
90	s.267	A	lab1	0
91	s.274	A	lab1	0
92	s.277	A	lab1	0
93	s.279	A	lab1	0
94	s.282	A	lab1	0
95	s.288	A	lab1	0
96	s.294	A	lab1	0
97	s.296	A	lab1	0
98	s.297	A	lab1	0
99	s.298	A	lab1	0
100	s.300	A	lab1	0
101	s.301	B	lab1	1
102	s.302	B	lab1	1
103	s.304	B	lab1	1
104	s.305	B	lab1	1
105	s.309	B	lab1	1
106	s.312	B	lab1	1
107	s.313	B	lab1	1
108	s.316	B	lab1	1
109	s.317	B	lab1	1
110	s.319	B	lab1	1
111	s.320	B	lab1	1
112	s.329	B	lab1	1
113	s.333	B	lab1	1
114	s.334	B	lab1	1
115	s.340	B	lab1	1
116	s.343	B	lab1	1
117	s.346	B	lab1	1
118	s.352	B	lab1	1
119	s.353	B	lab1	1
120	s.355	B	lab1	1
121	s.358	B	lab1	1
122	s.360	B	lab1	1
123	s.361	B	lab1	1
124	s.370	B	lab1	1
125	s.374	B	lab1	1
126	s.375	B	lab1	1
127	s.378	B	lab1	1
128	s.387	B	lab1	1
129	s.395	B	lab1	1
130	s.396	B	lab1	1
131	s.400	B	lab1	1
132	s.406	B	lab1	1
133	s.408	B	lab1	1
134	s.412	B	lab1	1
135	s.414	B	lab1	1
136	s.417	B	lab1	1
137	s.419	B	lab1	1
138	s.421	B	lab1	1
139	s.425	B	lab1	1
140	s.426	B	lab1	1
141	s.431	B	lab1	1
142	s.432	B	lab1	1
143	s.449	B	lab1	1
144	s.453	B	lab1	1
145	s.455	B	lab1	1
146	s.457	B	lab1	1
147	s.460	B	lab1	1
148	s.463	B	lab1	1
149	s.464	B	lab1	1
150	s.466	B	lab1	1
151	s.468	B	lab1	1
152	s.469	B	lab1	1
153	s.470	B	lab1	1
154	s.471	B	lab1	1
155	s.474	B	lab1	1
156	s.485	B	lab1	1
157	s.491	B	lab1	1
158	s.492	B	lab1	1
159	s.494	B	lab1	1
160	s.495	B	lab1	1
161	s.497	B	lab1	1
162	s.501	B	lab1	1
163	s.503	B	lab1	1
164	s.504	B	lab1	1
165	s.507	B	lab1	1
166	s.508	B	lab1	1
167	s.513	B	lab1	1
168	s.518	B	lab1	1
169	s.522	B	lab1	1
170	s.525	B	lab1	1
171	s.533	B	lab1	1
172	s.537	B	lab1	1
173	s.539	B	lab1	1
174	s.544	B	lab1	1
175	s.551	B	lab1	1
176	s.552	B	lab1	1
177	s.553	B	lab1	1
178	s.557	B	lab1	1
179	s.558	B	lab1	1
