"file"	"condition"	"lab"	"A"
"s.3"	"A"	"lab1"	0
"s.4"	"A"	"lab1"	0
"s.8"	"A"	"lab1"	0
"s.9"	"A"	"lab1"	0
"s.12"	"A"	"lab1"	0
"s.17"	"A"	"lab1"	0
"s.19"	"A"	"lab1"	0
"s.20"	"A"	"lab1"	0
"s.23"	"A"	"lab1"	0
"s.24"	"A"	"lab1"	0
"s.25"	"A"	"lab1"	0
"s.32"	"A"	"lab1"	0
"s.36"	"A"	"lab1"	0
"s.37"	"A"	"lab1"	0
"s.39"	"A"	"lab1"	0
"s.43"	"A"	"lab1"	0
"s.44"	"A"	"lab1"	0
"s.45"	"A"	"lab1"	0
"s.46"	"A"	"lab1"	0
"s.48"	"A"	"lab1"	0
"s.49"	"A"	"lab1"	0
"s.51"	"A"	"lab1"	0
"s.52"	"A"	"lab1"	0
"s.53"	"A"	"lab1"	0
"s.54"	"A"	"lab1"	0
"s.55"	"A"	"lab1"	0
"s.56"	"A"	"lab1"	0
"s.57"	"A"	"lab1"	0
"s.61"	"A"	"lab1"	0
"s.64"	"A"	"lab1"	0
"s.68"	"A"	"lab1"	0
"s.70"	"A"	"lab1"	0
"s.73"	"A"	"lab1"	0
"s.75"	"A"	"lab1"	0
"s.76"	"A"	"lab1"	0
"s.80"	"A"	"lab1"	0
"s.82"	"A"	"lab1"	0
"s.85"	"A"	"lab1"	0
"s.87"	"A"	"lab1"	0
"s.88"	"A"	"lab1"	0
"s.93"	"A"	"lab1"	0
"s.96"	"A"	"lab1"	0
"s.107"	"A"	"lab1"	0
"s.108"	"A"	"lab1"	0
"s.110"	"A"	"lab1"	0
"s.115"	"A"	"lab1"	0
"s.119"	"A"	"lab1"	0
"s.131"	"A"	"lab1"	0
"s.132"	"A"	"lab1"	0
"s.134"	"A"	"lab1"	0
"s.140"	"A"	"lab1"	0
"s.145"	"A"	"lab1"	0
"s.149"	"A"	"lab1"	0
"s.150"	"A"	"lab1"	0
"s.165"	"A"	"lab1"	0
"s.167"	"A"	"lab1"	0
"s.177"	"A"	"lab1"	0
"s.182"	"A"	"lab1"	0
"s.183"	"A"	"lab1"	0
"s.184"	"A"	"lab1"	0
"s.186"	"A"	"lab1"	0
"s.187"	"A"	"lab1"	0
"s.188"	"A"	"lab1"	0
