file	condition	lab	A
1	s.1	A	lab1	0
2	s.2	A	lab1	0
3	s.26	A	lab1	0
4	s.32	A	lab1	0
5	s.53	A	lab1	0
6	s.57	A	lab1	0
7	s.71	A	lab1	0
8	s.78	A	lab1	0
9	s.87	A	lab1	0
10	s.94	A	lab1	0
11	s.99	A	lab1	0
12	s.129	A	lab1	0
13	s.134	A	lab1	0
14	s.135	A	lab1	0
15	s.138	A	lab1	0
16	s.139	A	lab1	0
17	s.140	A	lab1	0
18	s.166	A	lab1	0
19	s.168	A	lab1	0
20	s.188	A	lab1	0
21	s.189	A	lab1	0
22	s.193	A	lab1	0
23	s.196	A	lab1	0
24	s.205	A	lab1	0
25	s.211	A	lab1	0
26	s.215	A	lab1	0
27	s.216	A	lab1	0
28	s.226	A	lab1	0
29	s.227	A	lab1	0
30	s.240	A	lab1	0
31	s.276	A	lab1	0
32	s.290	A	lab1	0
33	s.291	A	lab1	0
34	s.299	A	lab1	0
35	s.305	A	lab1	0
36	s.312	A	lab1	0
37	s.314	B	lab1	1
38	s.316	B	lab1	1
39	s.321	B	lab1	1
40	s.323	B	lab1	1
41	s.346	B	lab1	1
42	s.347	B	lab1	1
43	s.355	B	lab1	1
44	s.356	B	lab1	1
45	s.359	B	lab1	1
46	s.362	B	lab1	1
47	s.364	B	lab1	1
48	s.376	B	lab1	1
49	s.379	B	lab1	1
50	s.383	B	lab1	1
51	s.402	B	lab1	1
52	s.404	B	lab1	1
53	s.407	B	lab1	1
54	s.420	B	lab1	1
55	s.424	B	lab1	1
56	s.426	B	lab1	1
57	s.428	B	lab1	1
58	s.429	B	lab1	1
59	s.434	B	lab1	1
60	s.435	B	lab1	1
61	s.443	B	lab1	1
62	s.447	B	lab1	1
63	s.449	B	lab1	1
64	s.451	B	lab1	1
65	s.452	B	lab1	1
66	s.455	B	lab1	1
67	s.466	B	lab1	1
68	s.470	B	lab1	1
69	s.472	B	lab1	1
70	s.474	B	lab1	1
71	s.475	B	lab1	1
72	s.481	B	lab1	1
73	s.482	B	lab1	1
74	s.483	B	lab1	1
75	s.485	B	lab1	1
76	s.488	B	lab1	1
77	s.491	B	lab1	1
78	s.496	B	lab1	1
79	s.525	B	lab1	1
80	s.530	B	lab1	1
81	s.540	B	lab1	1
82	s.546	B	lab1	1
83	s.549	B	lab1	1
84	s.551	B	lab1	1
85	s.560	B	lab1	1
86	s.567	B	lab1	1
87	s.574	B	lab1	1
88	s.577	B	lab1	1
89	s.585	B	lab1	1
90	s.597	B	lab1	1
91	s.5	A	lab2	0
92	s.11	A	lab2	0
93	s.13	A	lab2	0
94	s.16	A	lab2	0
95	s.18	A	lab2	0
96	s.21	A	lab2	0
97	s.23	A	lab2	0
98	s.25	A	lab2	0
99	s.29	A	lab2	0
100	s.30	A	lab2	0
101	s.34	A	lab2	0
102	s.35	A	lab2	0
103	s.37	A	lab2	0
104	s.38	A	lab2	0
105	s.39	A	lab2	0
106	s.42	A	lab2	0
107	s.43	A	lab2	0
108	s.46	A	lab2	0
109	s.49	A	lab2	0
110	s.50	A	lab2	0
111	s.52	A	lab2	0
112	s.54	A	lab2	0
113	s.56	A	lab2	0
114	s.59	A	lab2	0
115	s.65	A	lab2	0
116	s.69	A	lab2	0
117	s.72	A	lab2	0
118	s.73	A	lab2	0
119	s.80	A	lab2	0
120	s.81	A	lab2	0
121	s.82	A	lab2	0
122	s.83	A	lab2	0
123	s.86	A	lab2	0
124	s.90	A	lab2	0
125	s.92	A	lab2	0
126	s.93	A	lab2	0
127	s.97	A	lab2	0
128	s.100	A	lab2	0
129	s.103	A	lab2	0
130	s.110	A	lab2	0
131	s.112	A	lab2	0
132	s.113	A	lab2	0
133	s.114	A	lab2	0
134	s.115	A	lab2	0
135	s.117	A	lab2	0
136	s.128	A	lab2	0
137	s.131	A	lab2	0
138	s.132	A	lab2	0
139	s.133	A	lab2	0
140	s.142	A	lab2	0
141	s.144	A	lab2	0
142	s.155	A	lab2	0
143	s.156	A	lab2	0
144	s.159	A	lab2	0
145	s.160	A	lab2	0
146	s.169	A	lab2	0
147	s.171	A	lab2	0
148	s.173	A	lab2	0
149	s.174	A	lab2	0
150	s.178	A	lab2	0
151	s.181	A	lab2	0
152	s.184	A	lab2	0
153	s.185	A	lab2	0
154	s.191	A	lab2	0
155	s.197	A	lab2	0
156	s.203	A	lab2	0
157	s.207	A	lab2	0
158	s.222	A	lab2	0
159	s.223	A	lab2	0
160	s.225	A	lab2	0
161	s.228	A	lab2	0
162	s.232	A	lab2	0
163	s.234	A	lab2	0
164	s.235	A	lab2	0
165	s.241	A	lab2	0
166	s.242	A	lab2	0
167	s.248	A	lab2	0
168	s.249	A	lab2	0
169	s.257	A	lab2	0
170	s.260	A	lab2	0
171	s.267	A	lab2	0
172	s.271	A	lab2	0
173	s.272	A	lab2	0
174	s.273	A	lab2	0
175	s.275	A	lab2	0
176	s.287	A	lab2	0
177	s.289	A	lab2	0
178	s.296	A	lab2	0
179	s.297	A	lab2	0
180	s.306	A	lab2	0
181	s.309	A	lab2	0
182	s.313	B	lab2	1
183	s.322	B	lab2	1
184	s.326	B	lab2	1
185	s.332	B	lab2	1
186	s.341	B	lab2	1
187	s.351	B	lab2	1
188	s.358	B	lab2	1
189	s.366	B	lab2	1
190	s.368	B	lab2	1
191	s.370	B	lab2	1
192	s.371	B	lab2	1
193	s.372	B	lab2	1
194	s.373	B	lab2	1
195	s.375	B	lab2	1
196	s.377	B	lab2	1
197	s.382	B	lab2	1
198	s.387	B	lab2	1
199	s.392	B	lab2	1
200	s.395	B	lab2	1
201	s.398	B	lab2	1
202	s.400	B	lab2	1
203	s.411	B	lab2	1
204	s.422	B	lab2	1
205	s.440	B	lab2	1
206	s.468	B	lab2	1
207	s.471	B	lab2	1
208	s.473	B	lab2	1
209	s.476	B	lab2	1
210	s.478	B	lab2	1
211	s.480	B	lab2	1
212	s.489	B	lab2	1
213	s.490	B	lab2	1
214	s.501	B	lab2	1
215	s.506	B	lab2	1
216	s.513	B	lab2	1
217	s.521	B	lab2	1
218	s.522	B	lab2	1
219	s.527	B	lab2	1
220	s.529	B	lab2	1
221	s.536	B	lab2	1
222	s.539	B	lab2	1
223	s.547	B	lab2	1
224	s.548	B	lab2	1
225	s.570	B	lab2	1
226	s.578	B	lab2	1
227	s.581	B	lab2	1
228	s.582	B	lab2	1
229	s.588	B	lab2	1
230	s.592	B	lab2	1
231	s.3	A	lab3	0
232	s.4	A	lab3	0
233	s.6	A	lab3	0
234	s.7	A	lab3	0
235	s.8	A	lab3	0
236	s.9	A	lab3	0
237	s.10	A	lab3	0
238	s.12	A	lab3	0
239	s.14	A	lab3	0
240	s.15	A	lab3	0
241	s.17	A	lab3	0
242	s.19	A	lab3	0
243	s.20	A	lab3	0
244	s.22	A	lab3	0
245	s.24	A	lab3	0
246	s.27	A	lab3	0
247	s.28	A	lab3	0
248	s.31	A	lab3	0
249	s.33	A	lab3	0
250	s.36	A	lab3	0
251	s.40	A	lab3	0
252	s.41	A	lab3	0
253	s.44	A	lab3	0
254	s.45	A	lab3	0
255	s.47	A	lab3	0
256	s.48	A	lab3	0
257	s.51	A	lab3	0
258	s.55	A	lab3	0
259	s.58	A	lab3	0
260	s.60	A	lab3	0
261	s.61	A	lab3	0
262	s.62	A	lab3	0
263	s.63	A	lab3	0
264	s.64	A	lab3	0
265	s.66	A	lab3	0
266	s.67	A	lab3	0
267	s.68	A	lab3	0
268	s.70	A	lab3	0
269	s.74	A	lab3	0
270	s.75	A	lab3	0
271	s.76	A	lab3	0
272	s.77	A	lab3	0
273	s.79	A	lab3	0
274	s.84	A	lab3	0
275	s.85	A	lab3	0
276	s.88	A	lab3	0
277	s.89	A	lab3	0
278	s.91	A	lab3	0
279	s.95	A	lab3	0
280	s.96	A	lab3	0
281	s.98	A	lab3	0
282	s.101	A	lab3	0
283	s.102	A	lab3	0
284	s.104	A	lab3	0
285	s.105	A	lab3	0
286	s.106	A	lab3	0
287	s.107	A	lab3	0
288	s.108	A	lab3	0
289	s.109	A	lab3	0
290	s.111	A	lab3	0
291	s.116	A	lab3	0
292	s.118	A	lab3	0
293	s.119	A	lab3	0
294	s.120	A	lab3	0
295	s.121	A	lab3	0
296	s.122	A	lab3	0
297	s.123	A	lab3	0
298	s.124	A	lab3	0
299	s.125	A	lab3	0
300	s.126	A	lab3	0
301	s.127	A	lab3	0
302	s.130	A	lab3	0
303	s.136	A	lab3	0
304	s.137	A	lab3	0
305	s.141	A	lab3	0
306	s.143	A	lab3	0
307	s.145	A	lab3	0
308	s.146	A	lab3	0
309	s.147	A	lab3	0
310	s.148	A	lab3	0
311	s.149	A	lab3	0
312	s.150	A	lab3	0
313	s.151	A	lab3	0
314	s.152	A	lab3	0
315	s.153	A	lab3	0
316	s.154	A	lab3	0
317	s.157	A	lab3	0
318	s.158	A	lab3	0
319	s.161	A	lab3	0
320	s.162	A	lab3	0
321	s.163	A	lab3	0
322	s.164	A	lab3	0
323	s.165	A	lab3	0
324	s.167	A	lab3	0
325	s.170	A	lab3	0
326	s.172	A	lab3	0
327	s.175	A	lab3	0
328	s.176	A	lab3	0
329	s.177	A	lab3	0
330	s.179	A	lab3	0
331	s.180	A	lab3	0
332	s.182	A	lab3	0
333	s.183	A	lab3	0
334	s.186	A	lab3	0
335	s.187	A	lab3	0
336	s.190	A	lab3	0
337	s.192	A	lab3	0
338	s.194	A	lab3	0
339	s.195	A	lab3	0
340	s.198	A	lab3	0
341	s.199	A	lab3	0
342	s.200	A	lab3	0
343	s.201	A	lab3	0
344	s.202	A	lab3	0
345	s.204	A	lab3	0
346	s.206	A	lab3	0
347	s.208	A	lab3	0
348	s.209	A	lab3	0
349	s.210	A	lab3	0
350	s.212	A	lab3	0
351	s.213	A	lab3	0
352	s.214	A	lab3	0
353	s.217	A	lab3	0
354	s.218	A	lab3	0
355	s.219	A	lab3	0
356	s.220	A	lab3	0
357	s.221	A	lab3	0
358	s.224	A	lab3	0
359	s.229	A	lab3	0
360	s.230	A	lab3	0
361	s.231	A	lab3	0
362	s.233	A	lab3	0
363	s.236	A	lab3	0
364	s.237	A	lab3	0
365	s.238	A	lab3	0
366	s.239	A	lab3	0
367	s.243	A	lab3	0
368	s.244	A	lab3	0
369	s.245	A	lab3	0
370	s.246	A	lab3	0
371	s.247	A	lab3	0
372	s.250	A	lab3	0
373	s.251	A	lab3	0
374	s.252	A	lab3	0
375	s.253	A	lab3	0
376	s.254	A	lab3	0
377	s.255	A	lab3	0
378	s.256	A	lab3	0
379	s.258	A	lab3	0
380	s.259	A	lab3	0
381	s.261	A	lab3	0
382	s.262	A	lab3	0
383	s.263	A	lab3	0
384	s.264	A	lab3	0
385	s.265	A	lab3	0
386	s.266	A	lab3	0
387	s.268	A	lab3	0
388	s.269	A	lab3	0
389	s.270	A	lab3	0
390	s.274	A	lab3	0
391	s.277	A	lab3	0
392	s.278	A	lab3	0
393	s.279	A	lab3	0
394	s.280	A	lab3	0
395	s.281	A	lab3	0
396	s.282	A	lab3	0
397	s.283	A	lab3	0
398	s.284	A	lab3	0
399	s.285	A	lab3	0
400	s.286	A	lab3	0
401	s.288	A	lab3	0
402	s.292	A	lab3	0
403	s.293	A	lab3	0
404	s.294	A	lab3	0
405	s.295	A	lab3	0
406	s.298	A	lab3	0
407	s.300	A	lab3	0
408	s.301	A	lab3	0
409	s.302	A	lab3	0
410	s.303	A	lab3	0
411	s.304	A	lab3	0
412	s.307	A	lab3	0
413	s.308	A	lab3	0
414	s.310	A	lab3	0
415	s.311	A	lab3	0
416	s.315	B	lab3	1
417	s.317	B	lab3	1
418	s.318	B	lab3	1
419	s.319	B	lab3	1
420	s.320	B	lab3	1
421	s.324	B	lab3	1
422	s.325	B	lab3	1
423	s.327	B	lab3	1
424	s.328	B	lab3	1
425	s.329	B	lab3	1
426	s.330	B	lab3	1
427	s.331	B	lab3	1
428	s.333	B	lab3	1
429	s.334	B	lab3	1
430	s.335	B	lab3	1
431	s.336	B	lab3	1
432	s.337	B	lab3	1
433	s.338	B	lab3	1
434	s.339	B	lab3	1
435	s.340	B	lab3	1
436	s.342	B	lab3	1
437	s.343	B	lab3	1
438	s.344	B	lab3	1
439	s.345	B	lab3	1
440	s.348	B	lab3	1
441	s.349	B	lab3	1
442	s.350	B	lab3	1
443	s.352	B	lab3	1
444	s.353	B	lab3	1
445	s.354	B	lab3	1
446	s.357	B	lab3	1
447	s.360	B	lab3	1
448	s.361	B	lab3	1
449	s.363	B	lab3	1
450	s.365	B	lab3	1
451	s.367	B	lab3	1
452	s.369	B	lab3	1
453	s.374	B	lab3	1
454	s.378	B	lab3	1
455	s.380	B	lab3	1
456	s.381	B	lab3	1
457	s.384	B	lab3	1
458	s.385	B	lab3	1
459	s.386	B	lab3	1
460	s.388	B	lab3	1
461	s.389	B	lab3	1
462	s.390	B	lab3	1
463	s.391	B	lab3	1
464	s.393	B	lab3	1
465	s.394	B	lab3	1
466	s.396	B	lab3	1
467	s.397	B	lab3	1
468	s.399	B	lab3	1
469	s.401	B	lab3	1
470	s.403	B	lab3	1
471	s.405	B	lab3	1
472	s.406	B	lab3	1
473	s.408	B	lab3	1
474	s.409	B	lab3	1
475	s.410	B	lab3	1
476	s.412	B	lab3	1
477	s.413	B	lab3	1
478	s.414	B	lab3	1
479	s.415	B	lab3	1
480	s.416	B	lab3	1
481	s.417	B	lab3	1
482	s.418	B	lab3	1
483	s.419	B	lab3	1
484	s.421	B	lab3	1
485	s.423	B	lab3	1
486	s.425	B	lab3	1
487	s.427	B	lab3	1
488	s.430	B	lab3	1
489	s.431	B	lab3	1
490	s.432	B	lab3	1
491	s.433	B	lab3	1
492	s.436	B	lab3	1
493	s.437	B	lab3	1
494	s.438	B	lab3	1
495	s.439	B	lab3	1
496	s.441	B	lab3	1
497	s.442	B	lab3	1
498	s.444	B	lab3	1
499	s.445	B	lab3	1
500	s.446	B	lab3	1
501	s.448	B	lab3	1
502	s.450	B	lab3	1
503	s.453	B	lab3	1
504	s.454	B	lab3	1
505	s.456	B	lab3	1
506	s.457	B	lab3	1
507	s.458	B	lab3	1
508	s.459	B	lab3	1
509	s.460	B	lab3	1
510	s.461	B	lab3	1
511	s.462	B	lab3	1
512	s.463	B	lab3	1
513	s.464	B	lab3	1
514	s.465	B	lab3	1
515	s.467	B	lab3	1
516	s.469	B	lab3	1
517	s.477	B	lab3	1
518	s.479	B	lab3	1
519	s.484	B	lab3	1
520	s.486	B	lab3	1
521	s.487	B	lab3	1
522	s.492	B	lab3	1
523	s.493	B	lab3	1
524	s.494	B	lab3	1
525	s.495	B	lab3	1
526	s.497	B	lab3	1
527	s.498	B	lab3	1
528	s.499	B	lab3	1
529	s.500	B	lab3	1
530	s.502	B	lab3	1
531	s.503	B	lab3	1
532	s.504	B	lab3	1
533	s.505	B	lab3	1
534	s.507	B	lab3	1
535	s.508	B	lab3	1
536	s.509	B	lab3	1
537	s.510	B	lab3	1
538	s.511	B	lab3	1
539	s.512	B	lab3	1
540	s.514	B	lab3	1
541	s.515	B	lab3	1
542	s.516	B	lab3	1
543	s.517	B	lab3	1
544	s.518	B	lab3	1
545	s.519	B	lab3	1
546	s.520	B	lab3	1
547	s.523	B	lab3	1
548	s.524	B	lab3	1
549	s.526	B	lab3	1
550	s.528	B	lab3	1
551	s.531	B	lab3	1
552	s.532	B	lab3	1
553	s.533	B	lab3	1
554	s.534	B	lab3	1
555	s.535	B	lab3	1
556	s.537	B	lab3	1
557	s.538	B	lab3	1
558	s.541	B	lab3	1
559	s.542	B	lab3	1
560	s.543	B	lab3	1
561	s.544	B	lab3	1
562	s.545	B	lab3	1
563	s.550	B	lab3	1
564	s.552	B	lab3	1
565	s.553	B	lab3	1
566	s.554	B	lab3	1
567	s.555	B	lab3	1
568	s.556	B	lab3	1
569	s.557	B	lab3	1
570	s.558	B	lab3	1
571	s.559	B	lab3	1
572	s.561	B	lab3	1
573	s.562	B	lab3	1
574	s.563	B	lab3	1
575	s.564	B	lab3	1
576	s.565	B	lab3	1
577	s.566	B	lab3	1
578	s.568	B	lab3	1
579	s.569	B	lab3	1
580	s.571	B	lab3	1
581	s.572	B	lab3	1
582	s.573	B	lab3	1
