"file"	"condition"	"lab"	"A"
"s.1"	"A"	"lab1"	0
"s.2"	"A"	"lab1"	0
"s.26"	"A"	"lab1"	0
"s.32"	"A"	"lab1"	0
"s.53"	"A"	"lab1"	0
"s.57"	"A"	"lab1"	0
"s.71"	"A"	"lab1"	0
"s.78"	"A"	"lab1"	0
"s.87"	"A"	"lab1"	0
"s.94"	"A"	"lab1"	0
"s.99"	"A"	"lab1"	0
"s.129"	"A"	"lab1"	0
"s.134"	"A"	"lab1"	0
"s.135"	"A"	"lab1"	0
"s.138"	"A"	"lab1"	0
"s.139"	"A"	"lab1"	0
"s.140"	"A"	"lab1"	0
"s.166"	"A"	"lab1"	0
"s.168"	"A"	"lab1"	0
"s.188"	"A"	"lab1"	0
"s.189"	"A"	"lab1"	0
"s.193"	"A"	"lab1"	0
"s.196"	"A"	"lab1"	0
"s.205"	"A"	"lab1"	0
"s.211"	"A"	"lab1"	0
"s.215"	"A"	"lab1"	0
"s.216"	"A"	"lab1"	0
"s.226"	"A"	"lab1"	0
"s.227"	"A"	"lab1"	0
"s.240"	"A"	"lab1"	0
"s.276"	"A"	"lab1"	0
"s.290"	"A"	"lab1"	0
"s.291"	"A"	"lab1"	0
"s.299"	"A"	"lab1"	0
"s.305"	"A"	"lab1"	0
"s.312"	"A"	"lab1"	0
"s.314"	"B"	"lab1"	1
"s.316"	"B"	"lab1"	1
"s.321"	"B"	"lab1"	1
"s.323"	"B"	"lab1"	1
"s.346"	"B"	"lab1"	1
"s.347"	"B"	"lab1"	1
"s.355"	"B"	"lab1"	1
"s.356"	"B"	"lab1"	1
"s.359"	"B"	"lab1"	1
"s.362"	"B"	"lab1"	1
"s.364"	"B"	"lab1"	1
"s.376"	"B"	"lab1"	1
"s.379"	"B"	"lab1"	1
"s.383"	"B"	"lab1"	1
"s.402"	"B"	"lab1"	1
"s.404"	"B"	"lab1"	1
"s.407"	"B"	"lab1"	1
"s.420"	"B"	"lab1"	1
"s.424"	"B"	"lab1"	1
"s.426"	"B"	"lab1"	1
"s.428"	"B"	"lab1"	1
"s.429"	"B"	"lab1"	1
"s.434"	"B"	"lab1"	1
"s.435"	"B"	"lab1"	1
"s.443"	"B"	"lab1"	1
"s.447"	"B"	"lab1"	1
"s.449"	"B"	"lab1"	1
"s.451"	"B"	"lab1"	1
"s.452"	"B"	"lab1"	1
"s.455"	"B"	"lab1"	1
"s.466"	"B"	"lab1"	1
"s.470"	"B"	"lab1"	1
"s.472"	"B"	"lab1"	1
"s.474"	"B"	"lab1"	1
"s.475"	"B"	"lab1"	1
"s.481"	"B"	"lab1"	1
"s.482"	"B"	"lab1"	1
"s.483"	"B"	"lab1"	1
"s.485"	"B"	"lab1"	1
"s.488"	"B"	"lab1"	1
"s.491"	"B"	"lab1"	1
"s.496"	"B"	"lab1"	1
"s.525"	"B"	"lab1"	1
"s.530"	"B"	"lab1"	1
"s.540"	"B"	"lab1"	1
"s.546"	"B"	"lab1"	1
"s.549"	"B"	"lab1"	1
"s.551"	"B"	"lab1"	1
"s.560"	"B"	"lab1"	1
"s.567"	"B"	"lab1"	1
"s.574"	"B"	"lab1"	1
"s.577"	"B"	"lab1"	1
"s.585"	"B"	"lab1"	1
"s.597"	"B"	"lab1"	1
