"file"	"condition"	"lab"
"s.1"	"s.1"	"A"	"lab3"
"s.2"	"s.2"	"A"	"lab3"
"s.3"	"s.3"	"A"	"lab3"
"s.4"	"s.4"	"A"	"lab3"
"s.5"	"s.5"	"A"	"lab1"
"s.6"	"s.6"	"A"	"lab3"
"s.7"	"s.7"	"A"	"lab3"
"s.8"	"s.8"	"A"	"lab1"
"s.9"	"s.9"	"A"	"lab3"
"s.10"	"s.10"	"A"	"lab3"
"s.11"	"s.11"	"A"	"lab3"
"s.12"	"s.12"	"A"	"lab3"
"s.13"	"s.13"	"A"	"lab1"
"s.14"	"s.14"	"A"	"lab3"
"s.15"	"s.15"	"A"	"lab3"
"s.16"	"s.16"	"A"	"lab3"
"s.17"	"s.17"	"A"	"lab3"
"s.18"	"s.18"	"A"	"lab3"
"s.19"	"s.19"	"A"	"lab3"
"s.20"	"s.20"	"A"	"lab1"
"s.21"	"s.21"	"A"	"lab3"
"s.22"	"s.22"	"A"	"lab3"
"s.23"	"s.23"	"A"	"lab3"
"s.24"	"s.24"	"A"	"lab3"
"s.25"	"s.25"	"A"	"lab3"
"s.26"	"s.26"	"A"	"lab3"
"s.27"	"s.27"	"A"	"lab1"
"s.28"	"s.28"	"A"	"lab3"
"s.29"	"s.29"	"A"	"lab3"
"s.30"	"s.30"	"A"	"lab3"
"s.31"	"s.31"	"A"	"lab3"
"s.32"	"s.32"	"A"	"lab3"
"s.33"	"s.33"	"A"	"lab3"
"s.34"	"s.34"	"A"	"lab3"
"s.35"	"s.35"	"A"	"lab2"
"s.36"	"s.36"	"A"	"lab2"
"s.37"	"s.37"	"A"	"lab3"
"s.38"	"s.38"	"A"	"lab3"
"s.39"	"s.39"	"A"	"lab3"
"s.40"	"s.40"	"A"	"lab3"
"s.41"	"s.41"	"A"	"lab2"
"s.42"	"s.42"	"A"	"lab3"
"s.43"	"s.43"	"A"	"lab3"
"s.44"	"s.44"	"A"	"lab3"
"s.45"	"s.45"	"A"	"lab3"
"s.46"	"s.46"	"A"	"lab3"
"s.47"	"s.47"	"A"	"lab3"
"s.48"	"s.48"	"A"	"lab3"
"s.49"	"s.49"	"A"	"lab3"
"s.50"	"s.50"	"A"	"lab3"
"s.51"	"s.51"	"A"	"lab3"
"s.52"	"s.52"	"A"	"lab3"
