"file"	"condition"	"lab"	"A"
"s.13"	"A"	"lab2"	0
"s.22"	"A"	"lab2"	0
"s.24"	"A"	"lab2"	0
"s.31"	"A"	"lab2"	0
"s.36"	"A"	"lab2"	0
"s.44"	"A"	"lab2"	0
"s.50"	"A"	"lab2"	0
"s.63"	"A"	"lab2"	0
"s.65"	"A"	"lab2"	0
"s.66"	"A"	"lab2"	0
"s.71"	"A"	"lab2"	0
"s.80"	"A"	"lab2"	0
"s.110"	"A"	"lab2"	0
"s.160"	"A"	"lab2"	0
"s.163"	"A"	"lab2"	0
"s.169"	"A"	"lab2"	0
"s.199"	"A"	"lab2"	0
"s.221"	"A"	"lab2"	0
"s.224"	"A"	"lab2"	0
"s.233"	"A"	"lab2"	0
"s.279"	"A"	"lab2"	0
"s.309"	"A"	"lab2"	0
"s.317"	"A"	"lab2"	0
"s.322"	"A"	"lab2"	0
"s.332"	"A"	"lab2"	0
"s.335"	"A"	"lab2"	0
"s.347"	"A"	"lab2"	0
"s.348"	"A"	"lab2"	0
"s.351"	"B"	"lab2"	1
"s.352"	"B"	"lab2"	1
"s.353"	"B"	"lab2"	1
"s.355"	"B"	"lab2"	1
"s.356"	"B"	"lab2"	1
"s.358"	"B"	"lab2"	1
"s.365"	"B"	"lab2"	1
"s.373"	"B"	"lab2"	1
"s.380"	"B"	"lab2"	1
"s.381"	"B"	"lab2"	1
"s.385"	"B"	"lab2"	1
"s.393"	"B"	"lab2"	1
"s.396"	"B"	"lab2"	1
"s.406"	"B"	"lab2"	1
"s.414"	"B"	"lab2"	1
"s.415"	"B"	"lab2"	1
"s.416"	"B"	"lab2"	1
"s.418"	"B"	"lab2"	1
"s.427"	"B"	"lab2"	1
"s.439"	"B"	"lab2"	1
"s.441"	"B"	"lab2"	1
"s.450"	"B"	"lab2"	1
"s.452"	"B"	"lab2"	1
"s.453"	"B"	"lab2"	1
"s.462"	"B"	"lab2"	1
"s.467"	"B"	"lab2"	1
"s.470"	"B"	"lab2"	1
"s.480"	"B"	"lab2"	1
"s.483"	"B"	"lab2"	1
"s.486"	"B"	"lab2"	1
"s.488"	"B"	"lab2"	1
"s.489"	"B"	"lab2"	1
"s.493"	"B"	"lab2"	1
"s.498"	"B"	"lab2"	1
"s.505"	"B"	"lab2"	1
"s.510"	"B"	"lab2"	1
"s.514"	"B"	"lab2"	1
"s.517"	"B"	"lab2"	1
"s.518"	"B"	"lab2"	1
"s.520"	"B"	"lab2"	1
"s.522"	"B"	"lab2"	1
"s.523"	"B"	"lab2"	1
"s.525"	"B"	"lab2"	1
"s.527"	"B"	"lab2"	1
"s.540"	"B"	"lab2"	1
"s.549"	"B"	"lab2"	1
"s.579"	"B"	"lab2"	1
"s.585"	"B"	"lab2"	1
"s.586"	"B"	"lab2"	1
"s.592"	"B"	"lab2"	1
"s.593"	"B"	"lab2"	1
"s.597"	"B"	"lab2"	1
