"file"	"condition"	"lab"	"A"
"s.2"	"A"	"lab1"	0
"s.3"	"A"	"lab1"	0
"s.4"	"A"	"lab1"	0
"s.5"	"A"	"lab1"	0
"s.12"	"A"	"lab1"	0
"s.13"	"A"	"lab1"	0
"s.14"	"A"	"lab1"	0
"s.17"	"A"	"lab1"	0
"s.22"	"A"	"lab1"	0
"s.31"	"A"	"lab1"	0
"s.36"	"A"	"lab1"	0
"s.39"	"A"	"lab1"	0
"s.50"	"A"	"lab1"	0
"s.51"	"A"	"lab1"	0
"s.52"	"A"	"lab1"	0
"s.54"	"A"	"lab1"	0
"s.57"	"A"	"lab1"	0
"s.61"	"A"	"lab1"	0
"s.62"	"A"	"lab1"	0
"s.65"	"A"	"lab1"	0
"s.66"	"A"	"lab1"	0
"s.71"	"A"	"lab1"	0
"s.72"	"A"	"lab1"	0
"s.73"	"A"	"lab1"	0
"s.75"	"A"	"lab1"	0
"s.80"	"A"	"lab1"	0
"s.85"	"A"	"lab1"	0
"s.87"	"A"	"lab1"	0
"s.88"	"A"	"lab1"	0
"s.89"	"A"	"lab1"	0
"s.91"	"A"	"lab1"	0
"s.94"	"A"	"lab1"	0
"s.98"	"A"	"lab1"	0
"s.101"	"A"	"lab1"	0
"s.107"	"A"	"lab1"	0
"s.108"	"A"	"lab1"	0
"s.109"	"A"	"lab1"	0
"s.113"	"A"	"lab1"	0
"s.119"	"A"	"lab1"	0
"s.120"	"A"	"lab1"	0
"s.121"	"A"	"lab1"	0
"s.127"	"A"	"lab1"	0
"s.128"	"A"	"lab1"	0
"s.130"	"A"	"lab1"	0
"s.134"	"A"	"lab1"	0
"s.135"	"A"	"lab1"	0
"s.136"	"A"	"lab1"	0
"s.143"	"A"	"lab1"	0
"s.144"	"A"	"lab1"	0
"s.145"	"A"	"lab1"	0
"s.146"	"A"	"lab1"	0
"s.148"	"A"	"lab1"	0
"s.150"	"A"	"lab1"	0
"s.151"	"A"	"lab1"	0
"s.160"	"A"	"lab1"	0
"s.161"	"A"	"lab1"	0
"s.165"	"A"	"lab1"	0
"s.173"	"A"	"lab1"	0
"s.175"	"A"	"lab1"	0
"s.177"	"A"	"lab1"	0
"s.178"	"A"	"lab1"	0
"s.184"	"A"	"lab1"	0
"s.185"	"A"	"lab1"	0
"s.191"	"A"	"lab1"	0
"s.193"	"A"	"lab1"	0
"s.199"	"A"	"lab1"	0
"s.202"	"A"	"lab1"	0
"s.210"	"A"	"lab1"	0
"s.211"	"A"	"lab1"	0
"s.214"	"A"	"lab1"	0
"s.215"	"A"	"lab1"	0
"s.216"	"A"	"lab1"	0
"s.217"	"A"	"lab1"	0
"s.220"	"A"	"lab1"	0
"s.223"	"A"	"lab1"	0
"s.224"	"A"	"lab1"	0
"s.227"	"A"	"lab1"	0
"s.232"	"A"	"lab1"	0
"s.233"	"A"	"lab1"	0
"s.234"	"A"	"lab1"	0
"s.235"	"A"	"lab1"	0
"s.237"	"A"	"lab1"	0
"s.240"	"A"	"lab1"	0
"s.244"	"A"	"lab1"	0
"s.252"	"A"	"lab1"	0
"s.255"	"A"	"lab1"	0
"s.258"	"A"	"lab1"	0
"s.264"	"A"	"lab1"	0
"s.266"	"A"	"lab1"	0
"s.269"	"A"	"lab1"	0
"s.272"	"A"	"lab1"	0
"s.276"	"A"	"lab1"	0
"s.284"	"A"	"lab1"	0
"s.285"	"A"	"lab1"	0
"s.287"	"A"	"lab1"	0
"s.290"	"A"	"lab1"	0
"s.292"	"A"	"lab1"	0
"s.298"	"A"	"lab1"	0
"s.299"	"A"	"lab1"	0
"s.300"	"A"	"lab1"	0
"s.303"	"B"	"lab1"	1
"s.309"	"B"	"lab1"	1
"s.310"	"B"	"lab1"	1
"s.311"	"B"	"lab1"	1
"s.312"	"B"	"lab1"	1
"s.317"	"B"	"lab1"	1
"s.320"	"B"	"lab1"	1
"s.324"	"B"	"lab1"	1
"s.328"	"B"	"lab1"	1
"s.330"	"B"	"lab1"	1
"s.332"	"B"	"lab1"	1
"s.336"	"B"	"lab1"	1
"s.343"	"B"	"lab1"	1
"s.345"	"B"	"lab1"	1
"s.346"	"B"	"lab1"	1
"s.347"	"B"	"lab1"	1
"s.348"	"B"	"lab1"	1
"s.350"	"B"	"lab1"	1
"s.351"	"B"	"lab1"	1
"s.353"	"B"	"lab1"	1
"s.357"	"B"	"lab1"	1
"s.359"	"B"	"lab1"	1
"s.370"	"B"	"lab1"	1
"s.371"	"B"	"lab1"	1
"s.379"	"B"	"lab1"	1
"s.380"	"B"	"lab1"	1
"s.388"	"B"	"lab1"	1
"s.391"	"B"	"lab1"	1
"s.392"	"B"	"lab1"	1
"s.393"	"B"	"lab1"	1
"s.394"	"B"	"lab1"	1
"s.396"	"B"	"lab1"	1
"s.399"	"B"	"lab1"	1
"s.401"	"B"	"lab1"	1
"s.404"	"B"	"lab1"	1
"s.407"	"B"	"lab1"	1
"s.408"	"B"	"lab1"	1
"s.410"	"B"	"lab1"	1
"s.413"	"B"	"lab1"	1
"s.416"	"B"	"lab1"	1
"s.417"	"B"	"lab1"	1
"s.419"	"B"	"lab1"	1
"s.421"	"B"	"lab1"	1
"s.422"	"B"	"lab1"	1
"s.423"	"B"	"lab1"	1
"s.434"	"B"	"lab1"	1
"s.437"	"B"	"lab1"	1
"s.438"	"B"	"lab1"	1
"s.441"	"B"	"lab1"	1
"s.446"	"B"	"lab1"	1
"s.448"	"B"	"lab1"	1
"s.451"	"B"	"lab1"	1
"s.453"	"B"	"lab1"	1
"s.457"	"B"	"lab1"	1
"s.458"	"B"	"lab1"	1
"s.461"	"B"	"lab1"	1
"s.464"	"B"	"lab1"	1
"s.470"	"B"	"lab1"	1
"s.472"	"B"	"lab1"	1
"s.473"	"B"	"lab1"	1
"s.479"	"B"	"lab1"	1
"s.480"	"B"	"lab1"	1
"s.481"	"B"	"lab1"	1
"s.487"	"B"	"lab1"	1
"s.488"	"B"	"lab1"	1
"s.489"	"B"	"lab1"	1
"s.495"	"B"	"lab1"	1
"s.497"	"B"	"lab1"	1
"s.498"	"B"	"lab1"	1
"s.499"	"B"	"lab1"	1
"s.502"	"B"	"lab1"	1
"s.512"	"B"	"lab1"	1
"s.517"	"B"	"lab1"	1
"s.518"	"B"	"lab1"	1
"s.519"	"B"	"lab1"	1
"s.523"	"B"	"lab1"	1
"s.527"	"B"	"lab1"	1
"s.528"	"B"	"lab1"	1
"s.530"	"B"	"lab1"	1
"s.531"	"B"	"lab1"	1
"s.532"	"B"	"lab1"	1
"s.533"	"B"	"lab1"	1
"s.538"	"B"	"lab1"	1
"s.540"	"B"	"lab1"	1
"s.541"	"B"	"lab1"	1
"s.557"	"B"	"lab1"	1
"s.559"	"B"	"lab1"	1
"s.568"	"B"	"lab1"	1
"s.570"	"B"	"lab1"	1
"s.573"	"B"	"lab1"	1
"s.575"	"B"	"lab1"	1
"s.577"	"B"	"lab1"	1
"s.579"	"B"	"lab1"	1
"s.583"	"B"	"lab1"	1
"s.585"	"B"	"lab1"	1
"s.586"	"B"	"lab1"	1
"s.588"	"B"	"lab1"	1
"s.594"	"B"	"lab1"	1
"s.596"	"B"	"lab1"	1
"s.597"	"B"	"lab1"	1
