file	condition	lab	A
s.3	A	lab3	0
s.4	A	lab3	0
s.6	A	lab3	0
s.8	A	lab3	0
s.11	A	lab3	0
s.15	A	lab3	0
s.19	A	lab3	0
s.20	A	lab3	0
s.21	A	lab3	0
s.24	A	lab3	0
s.27	A	lab3	0
s.28	A	lab3	0
s.30	A	lab3	0
s.31	A	lab3	0
s.32	A	lab3	0
s.35	A	lab3	0
s.36	A	lab3	0
s.37	A	lab3	0
s.40	A	lab3	0
s.43	A	lab3	0
s.47	A	lab3	0
s.50	A	lab3	0
s.52	A	lab3	0
s.64	A	lab3	0
s.69	A	lab3	0
s.78	A	lab3	0
s.84	A	lab3	0
s.86	A	lab3	0
s.87	A	lab3	0
s.89	A	lab3	0
s.91	A	lab3	0
s.92	A	lab3	0
s.94	A	lab3	0
s.98	A	lab3	0
s.101	A	lab3	0
s.102	A	lab3	0
s.107	A	lab3	0
s.109	A	lab3	0
s.113	A	lab3	0
s.115	A	lab3	0
s.117	A	lab3	0
s.119	A	lab3	0
s.124	A	lab3	0
s.125	A	lab3	0
s.127	A	lab3	0
s.130	A	lab3	0
s.135	A	lab3	0
s.136	A	lab3	0
s.147	A	lab3	0
s.150	A	lab3	0
s.151	A	lab3	0
s.156	A	lab3	0
s.159	A	lab3	0
s.161	A	lab3	0
s.163	A	lab3	0
s.172	A	lab3	0
s.178	A	lab3	0
s.185	A	lab3	0
s.186	A	lab3	0
s.189	A	lab3	0
s.192	A	lab3	0
s.193	A	lab3	0
s.195	A	lab3	0
s.200	A	lab3	0
s.202	A	lab3	0
s.203	A	lab3	0
s.205	A	lab3	0
s.209	A	lab3	0
s.210	A	lab3	0
s.211	A	lab3	0
s.212	A	lab3	0
s.213	A	lab3	0
s.214	A	lab3	0
s.222	A	lab3	0
s.223	A	lab3	0
s.227	A	lab3	0
s.228	A	lab3	0
s.234	A	lab3	0
s.237	A	lab3	0
s.239	A	lab3	0
s.241	A	lab3	0
s.245	A	lab3	0
s.246	A	lab3	0
s.250	A	lab3	0
s.253	A	lab3	0
s.255	A	lab3	0
s.266	A	lab3	0
s.267	A	lab3	0
s.270	A	lab3	0
s.271	A	lab3	0
s.274	A	lab3	0
s.275	A	lab3	0
s.277	A	lab3	0
s.278	A	lab3	0
s.281	A	lab3	0
s.288	A	lab3	0
s.289	A	lab3	0
s.296	A	lab3	0
s.297	A	lab3	0
s.299	A	lab3	0
s.304	B	lab3	1
s.306	B	lab3	1
s.310	B	lab3	1
s.314	B	lab3	1
s.317	B	lab3	1
s.321	B	lab3	1
s.326	B	lab3	1
s.330	B	lab3	1
s.331	B	lab3	1
s.332	B	lab3	1
s.334	B	lab3	1
s.337	B	lab3	1
s.341	B	lab3	1
s.343	B	lab3	1
s.347	B	lab3	1
s.365	B	lab3	1
s.368	B	lab3	1
s.371	B	lab3	1
s.373	B	lab3	1
s.375	B	lab3	1
s.376	B	lab3	1
s.380	B	lab3	1
s.381	B	lab3	1
s.383	B	lab3	1
s.388	B	lab3	1
s.389	B	lab3	1
s.391	B	lab3	1
s.392	B	lab3	1
s.393	B	lab3	1
s.394	B	lab3	1
s.399	B	lab3	1
s.402	B	lab3	1
s.403	B	lab3	1
s.409	B	lab3	1
s.411	B	lab3	1
s.413	B	lab3	1
s.414	B	lab3	1
s.416	B	lab3	1
s.418	B	lab3	1
s.419	B	lab3	1
s.421	B	lab3	1
s.429	B	lab3	1
s.430	B	lab3	1
s.438	B	lab3	1
s.441	B	lab3	1
s.445	B	lab3	1
s.450	B	lab3	1
s.458	B	lab3	1
s.459	B	lab3	1
s.461	B	lab3	1
s.464	B	lab3	1
s.469	B	lab3	1
s.470	B	lab3	1
s.472	B	lab3	1
s.474	B	lab3	1
s.477	B	lab3	1
s.482	B	lab3	1
s.485	B	lab3	1
s.487	B	lab3	1
s.488	B	lab3	1
s.492	B	lab3	1
s.496	B	lab3	1
s.501	B	lab3	1
s.506	B	lab3	1
s.507	B	lab3	1
s.510	B	lab3	1
s.511	B	lab3	1
s.512	B	lab3	1
s.514	B	lab3	1
s.515	B	lab3	1
s.517	B	lab3	1
s.526	B	lab3	1
s.528	B	lab3	1
s.530	B	lab3	1
s.531	B	lab3	1
s.533	B	lab3	1
s.538	B	lab3	1
s.542	B	lab3	1
s.544	B	lab3	1
s.548	B	lab3	1
s.550	B	lab3	1
s.551	B	lab3	1
s.554	B	lab3	1
s.556	B	lab3	1
s.560	B	lab3	1
s.561	B	lab3	1
s.567	B	lab3	1
s.568	B	lab3	1
s.572	B	lab3	1
s.573	B	lab3	1
s.576	B	lab3	1
s.579	B	lab3	1
s.581	B	lab3	1
s.583	B	lab3	1
s.585	B	lab3	1
s.591	B	lab3	1
s.596	B	lab3	1
s.597	B	lab3	1
s.599	B	lab3	1
s.600	B	lab3	1
