"file"	"condition"	"lab"	"A"
"s.4"	"A"	"lab2"	0
"s.9"	"A"	"lab2"	0
"s.11"	"A"	"lab2"	0
"s.14"	"A"	"lab2"	0
"s.22"	"A"	"lab2"	0
"s.31"	"A"	"lab2"	0
"s.40"	"A"	"lab2"	0
"s.42"	"A"	"lab2"	0
"s.43"	"A"	"lab2"	0
"s.45"	"A"	"lab2"	0
"s.46"	"A"	"lab2"	0
"s.48"	"A"	"lab2"	0
"s.51"	"A"	"lab2"	0
"s.54"	"A"	"lab2"	0
"s.57"	"A"	"lab2"	0
"s.59"	"A"	"lab2"	0
"s.62"	"A"	"lab2"	0
"s.67"	"A"	"lab2"	0
"s.70"	"A"	"lab2"	0
"s.74"	"A"	"lab2"	0
"s.76"	"A"	"lab2"	0
"s.77"	"A"	"lab2"	0
"s.84"	"A"	"lab2"	0
"s.91"	"A"	"lab2"	0
"s.96"	"A"	"lab2"	0
"s.97"	"A"	"lab2"	0
"s.103"	"A"	"lab2"	0
"s.107"	"A"	"lab2"	0
"s.108"	"A"	"lab2"	0
"s.109"	"A"	"lab2"	0
"s.112"	"A"	"lab2"	0
"s.115"	"A"	"lab2"	0
"s.117"	"A"	"lab2"	0
"s.118"	"A"	"lab2"	0
"s.122"	"A"	"lab2"	0
"s.123"	"A"	"lab2"	0
"s.125"	"A"	"lab2"	0
"s.126"	"A"	"lab2"	0
"s.134"	"A"	"lab2"	0
"s.137"	"A"	"lab2"	0
"s.138"	"A"	"lab2"	0
"s.139"	"A"	"lab2"	0
"s.143"	"A"	"lab2"	0
"s.146"	"A"	"lab2"	0
"s.147"	"A"	"lab2"	0
"s.151"	"A"	"lab2"	0
"s.158"	"A"	"lab2"	0
"s.162"	"A"	"lab2"	0
"s.167"	"A"	"lab2"	0
"s.170"	"A"	"lab2"	0
"s.171"	"A"	"lab2"	0
"s.176"	"A"	"lab2"	0
"s.178"	"A"	"lab2"	0
"s.183"	"A"	"lab2"	0
"s.188"	"A"	"lab2"	0
"s.189"	"A"	"lab2"	0
"s.193"	"A"	"lab2"	0
"s.199"	"A"	"lab2"	0
"s.204"	"A"	"lab2"	0
"s.205"	"A"	"lab2"	0
"s.208"	"A"	"lab2"	0
"s.209"	"A"	"lab2"	0
"s.213"	"A"	"lab2"	0
"s.214"	"A"	"lab2"	0
"s.216"	"A"	"lab2"	0
"s.221"	"A"	"lab2"	0
"s.222"	"A"	"lab2"	0
"s.228"	"A"	"lab2"	0
"s.230"	"A"	"lab2"	0
"s.231"	"A"	"lab2"	0
"s.237"	"A"	"lab2"	0
"s.238"	"A"	"lab2"	0
"s.244"	"A"	"lab2"	0
"s.248"	"A"	"lab2"	0
"s.249"	"A"	"lab2"	0
"s.252"	"A"	"lab2"	0
"s.253"	"A"	"lab2"	0
"s.256"	"A"	"lab2"	0
"s.258"	"A"	"lab2"	0
"s.263"	"A"	"lab2"	0
"s.265"	"A"	"lab2"	0
"s.276"	"A"	"lab2"	0
"s.279"	"A"	"lab2"	0
"s.286"	"A"	"lab2"	0
"s.288"	"A"	"lab2"	0
"s.292"	"A"	"lab2"	0
"s.294"	"A"	"lab2"	0
"s.297"	"A"	"lab2"	0
"s.308"	"A"	"lab2"	0
"s.309"	"A"	"lab2"	0
"s.310"	"A"	"lab2"	0
"s.313"	"B"	"lab2"	1
"s.315"	"B"	"lab2"	1
"s.323"	"B"	"lab2"	1
"s.335"	"B"	"lab2"	1
"s.345"	"B"	"lab2"	1
"s.346"	"B"	"lab2"	1
"s.347"	"B"	"lab2"	1
"s.348"	"B"	"lab2"	1
"s.349"	"B"	"lab2"	1
"s.353"	"B"	"lab2"	1
"s.363"	"B"	"lab2"	1
"s.364"	"B"	"lab2"	1
"s.376"	"B"	"lab2"	1
"s.394"	"B"	"lab2"	1
"s.397"	"B"	"lab2"	1
"s.398"	"B"	"lab2"	1
"s.399"	"B"	"lab2"	1
"s.402"	"B"	"lab2"	1
"s.404"	"B"	"lab2"	1
"s.408"	"B"	"lab2"	1
"s.423"	"B"	"lab2"	1
"s.427"	"B"	"lab2"	1
"s.430"	"B"	"lab2"	1
"s.432"	"B"	"lab2"	1
"s.436"	"B"	"lab2"	1
"s.442"	"B"	"lab2"	1
"s.461"	"B"	"lab2"	1
"s.462"	"B"	"lab2"	1
"s.468"	"B"	"lab2"	1
"s.475"	"B"	"lab2"	1
"s.480"	"B"	"lab2"	1
"s.499"	"B"	"lab2"	1
"s.500"	"B"	"lab2"	1
"s.512"	"B"	"lab2"	1
"s.529"	"B"	"lab2"	1
"s.534"	"B"	"lab2"	1
"s.535"	"B"	"lab2"	1
"s.538"	"B"	"lab2"	1
"s.546"	"B"	"lab2"	1
"s.547"	"B"	"lab2"	1
"s.553"	"B"	"lab2"	1
"s.556"	"B"	"lab2"	1
"s.564"	"B"	"lab2"	1
"s.570"	"B"	"lab2"	1
"s.571"	"B"	"lab2"	1
"s.579"	"B"	"lab2"	1
"s.585"	"B"	"lab2"	1
"s.592"	"B"	"lab2"	1
"s.596"	"B"	"lab2"	1
