"file"	"condition"	"lab"	"A"
"s.13"	"A"	"lab1"	0
"s.47"	"A"	"lab1"	0
"s.48"	"A"	"lab1"	0
"s.53"	"A"	"lab1"	0
"s.63"	"A"	"lab1"	0
"s.66"	"A"	"lab1"	0
"s.79"	"A"	"lab1"	0
"s.88"	"A"	"lab1"	0
"s.101"	"A"	"lab1"	0
"s.113"	"A"	"lab1"	0
"s.143"	"A"	"lab1"	0
"s.146"	"A"	"lab1"	0
"s.154"	"A"	"lab1"	0
"s.165"	"A"	"lab1"	0
"s.191"	"A"	"lab1"	0
"s.193"	"A"	"lab1"	0
"s.200"	"A"	"lab1"	0
"s.202"	"A"	"lab1"	0
"s.206"	"A"	"lab1"	0
"s.216"	"A"	"lab1"	0
"s.218"	"A"	"lab1"	0
"s.222"	"A"	"lab1"	0
"s.237"	"A"	"lab1"	0
"s.247"	"A"	"lab1"	0
"s.258"	"A"	"lab1"	0
"s.278"	"A"	"lab1"	0
"s.284"	"A"	"lab1"	0
"s.300"	"A"	"lab1"	0
"s.311"	"A"	"lab1"	0
"s.316"	"A"	"lab1"	0
"s.334"	"A"	"lab1"	0
"s.339"	"A"	"lab1"	0
"s.361"	"B"	"lab1"	1
"s.393"	"B"	"lab1"	1
"s.398"	"B"	"lab1"	1
"s.436"	"B"	"lab1"	1
"s.468"	"B"	"lab1"	1
"s.542"	"B"	"lab1"	1
"s.587"	"B"	"lab1"	1
"s.591"	"B"	"lab1"	1
