file	condition	lab	A
s.39	A	lab2	0
s.44	A	lab2	0
s.98	A	lab2	0
s.106	A	lab2	0
s.110	A	lab2	0
s.123	A	lab2	0
s.132	A	lab2	0
s.140	A	lab2	0
s.165	A	lab2	0
s.177	A	lab2	0
s.181	A	lab2	0
s.184	A	lab2	0
s.190	A	lab2	0
s.222	A	lab2	0
s.228	A	lab2	0
s.229	A	lab2	0
s.235	A	lab2	0
s.237	A	lab2	0
s.251	A	lab2	0
s.256	A	lab2	0
s.265	A	lab2	0
s.286	A	lab2	0
s.306	A	lab2	0
s.308	A	lab2	0
s.329	A	lab2	0
s.334	A	lab2	0
s.341	A	lab2	0
s.347	A	lab2	0
s.353	B	lab2	1
s.356	B	lab2	1
s.359	B	lab2	1
s.364	B	lab2	1
s.366	B	lab2	1
s.372	B	lab2	1
s.374	B	lab2	1
s.376	B	lab2	1
s.379	B	lab2	1
s.386	B	lab2	1
s.389	B	lab2	1
s.392	B	lab2	1
s.398	B	lab2	1
s.403	B	lab2	1
s.408	B	lab2	1
s.409	B	lab2	1
s.410	B	lab2	1
s.411	B	lab2	1
s.414	B	lab2	1
s.416	B	lab2	1
s.429	B	lab2	1
s.432	B	lab2	1
s.439	B	lab2	1
s.443	B	lab2	1
s.444	B	lab2	1
s.457	B	lab2	1
s.464	B	lab2	1
s.472	B	lab2	1
s.474	B	lab2	1
s.478	B	lab2	1
s.493	B	lab2	1
s.495	B	lab2	1
s.497	B	lab2	1
s.505	B	lab2	1
s.507	B	lab2	1
s.508	B	lab2	1
s.513	B	lab2	1
s.518	B	lab2	1
s.529	B	lab2	1
s.537	B	lab2	1
s.539	B	lab2	1
s.542	B	lab2	1
s.552	B	lab2	1
s.559	B	lab2	1
s.561	B	lab2	1
s.564	B	lab2	1
s.568	B	lab2	1
s.578	B	lab2	1
s.580	B	lab2	1
s.594	B	lab2	1
s.598	B	lab2	1
s.599	B	lab2	1
