rowname,Clinspect_E_coli_A_QC1_Slot1-6_1_8640,Clinspect_E_coli_A_QC2_Slot1-15_1_8649,Clinspect_E_coli_A_S5_Slot1-7_1_8641,Clinspect_E_coli_A_S7_Slot1-24_1_8673,Clinspect_E_coli_A_S14_Slot1-11_1_8645,Clinspect_E_coli_A_S20_Slot1-20_1_8669,Clinspect_E_coli_A_S23_Slot1-8_1_8642,Clinspect_E_coli_A_S29_Slot1-19_1_8667,Clinspect_E_coli_A_S34_Slot1-18_1_8666,Clinspect_E_coli_A_S39_Slot1-26_1_8675,Clinspect_E_coli_A_S42_Slot1-21_1_8670,Clinspect_E_coli_A_S47_Slot1-14_1_8648,Clinspect_E_coli_B_QC3_Slot1-23_1_8672,Clinspect_E_coli_B_QC4_Slot1-10_1_8644,Clinspect_E_coli_B_S53_Slot1-22_1_8671,Clinspect_E_coli_B_S58_Slot1-5_1_8639,Clinspect_E_coli_B_S62_Slot1-16_1_8664,Clinspect_E_coli_B_S66_Slot1-13_1_8647,Clinspect_E_coli_B_S78_Slot1-17_1_8665,Clinspect_E_coli_B_S85_Slot1-12_1_8646,Clinspect_E_coli_B_S86_Slot1-4_1_8638,Clinspect_E_coli_B_S91_Slot1-25_1_8674,Clinspect_E_coli_B_S98_Slot1-9_1_8643
A5A614,19.457716598405842,18.500021976874176,18.38499656251147,16.038471617698267,18.35110915301877,18.51014884171598,17.677373680735688,19.011607074937256,17.17672827391847,17.757233596455794,18.28736928389004,19.71107019245901,,17.75815029442011,17.426426160245242,16.448530622864297,16.929577328251874,,,17.698118458340648,,16.422536352989802,
O32583,19.534901374103484,18.983681949018738,18.809804612411348,19.162320371633545,19.29084595764005,19.181880969468853,20.184318799134168,19.276868296840064,19.559952391189373,18.68021179310226,19.412305924495747,18.61298894314814,19.004358303942496,18.084099940827286,19.119306154425395,17.87101210601406,18.75657668674628,19.85511591947708,18.70442622513337,18.976883474537633,17.013572451476186,17.456107118514176,18.131918293190132
P00350,25.289227249006395,25.22530712976861,25.26986129443842,25.23548749606958,25.25351793719632,25.42315699688163,25.259043258353934,25.411886619014325,25.399719819571054,25.313491900949693,25.347557782553984,25.21617346945775,25.18192239019298,25.455938465538196,25.633411652282234,25.547502224380118,25.55846909656782,25.098782540132383,25.03820580194629,25.581063832214546,25.411282905592444,25.38362715059209,25.286787760805424
P00363,23.33064468626323,23.22092919417103,23.217940708505733,23.58667992339515,23.11632039894233,23.678955983463844,23.335691991949066,23.153230121932786,22.916697932609505,23.519295337148606,23.290811613157597,23.517704594285664,23.406991265905244,23.165107430492355,23.15922987571087,23.10192382980625,23.1138258487261,22.948736568280484,22.983435635554937,23.37927067350848,23.302885179752703,23.035805893288295,23.217260109491022
P00370,24.452964636558534,24.381093492794072,24.421525647684913,24.271813495699526,24.29723939898928,24.634944054262963,24.433292367433964,24.446647290734955,24.368681119939307,24.392388978936523,24.266969989912038,24.542778625565234,24.782362444428355,25.036772864324924,25.084011193982892,24.998793465505898,25.012422389666135,24.575296954064704,24.286939767501455,25.141115970524822,24.943117348251647,24.656359546918452,24.859845966472292
P00393,22.268366511028574,22.76124189703028,22.445335267960015,22.632862112594168,22.511335243601557,22.291842829354184,22.677589480907354,22.414301306657148,22.509660673477146,22.57100751386106,22.366976422451128,22.231808693532006,22.587307203534444,22.730065336484902,22.400907209314813,22.632151908989254,22.5396728857605,22.65428848226854,22.53191464077885,22.67640124401489,22.53731706436507,22.800647707536424,22.840296485548546
P00448,25.004705512585204,24.767260561707083,25.09151585494122,24.565948979782114,25.54478004777204,25.29541245480798,25.276305956713724,24.866393279721752,24.95879950491892,25.027780181777043,25.31558719211512,25.377753114024348,24.734529177061763,24.916898489347364,24.912448376205838,24.837754074679147,24.77979085733218,24.668720950560502,24.63664983867762,24.89095435583436,25.04201665714378,24.78229381374503,24.647333525752344
P00452,22.729005476590977,22.816881933485575,22.852716699714144,22.677843752184337,22.87770148812607,22.717020308835416,22.567042691968467,22.75889925395495,22.650187050436877,22.682129460114524,22.817319626486714,22.58723141821099,22.60033968218277,22.594527394677,22.578717231555316,22.943420572909858,22.50224470406826,22.315893315512767,21.983202894827485,22.859671829177536,22.72321399713816,22.673238414638163,22.65080114213019
P00490,21.929186940417388,22.132579357020614,22.099226239796476,22.098880530507188,22.125381131676942,21.85243563707021,22.25395251995044,22.16502432091104,22.173341946349204,22.169226306960145,21.913533493627455,21.877312284685505,22.98939177972507,23.015874711031483,22.805972813776318,23.075677419775545,22.798959867910046,22.769048964908176,22.930020967891583,23.261682115909217,23.168546309137685,23.08247881075999,23.254478295316645
P00509,24.9482048993779,25.185653902627838,24.950020383381723,25.084251633973228,25.163818886656987,25.170967012078826,24.92006689148399,25.17963701079958,25.257726531194315,24.953800519887526,25.168800306838822,24.82520415991367,24.55131681748395,24.912359923684647,24.902942694625303,24.931920301715312,24.946805209182816,24.651488263351975,24.375337377451498,24.895446704827812,24.812069565378508,24.803738718275383,24.811633505115665
P00547,23.839837109818177,24.412304561879964,24.00655411977619,24.416907602782892,24.358533759951307,24.417451540134657,24.398731459002803,24.433943875034885,24.985498841985255,24.475200374848896,24.428642506164103,24.388314569900032,23.56788897118077,24.152835998677894,24.153337934201808,24.258808742352862,24.096877387780232,23.960168079006237,23.73407954341581,24.256557713390265,24.386800861953006,24.129936971972228,24.149775917861426
P00550,21.336731900892687,21.19389668026272,21.150971079917564,21.46539455887668,21.479966573428086,21.35818176313896,21.643897671229663,21.459658991083348,21.448809025073203,21.70650499513959,21.51088796894774,21.346404397944074,21.118251614606887,21.074392566968783,20.864206680989707,21.268376254207435,21.022181301815486,20.985174262506124,21.176013401147536,20.978240947354724,21.014562383245618,21.333587187018097,21.23061754566705
P00561,25.842576652123583,25.6155295999837,25.96263109691899,25.672649917084986,25.956492592806608,25.857513817076775,25.761222322249203,26.15855505960985,26.011113217334735,25.782662853118264,25.917440451685714,25.931859274975228,25.32734774453219,25.532021797899336,25.665875745584056,25.714803194375857,25.577685703876195,25.051479048489863,24.632864729531246,25.763807139724577,25.551685089517587,25.509349009365263,25.358504240020675
P00562,21.82960461124086,21.596708404117205,21.69021518499009,21.508111586086738,21.59979841726304,21.50402286408128,21.721660218289045,21.469322030953027,21.586921622113728,21.988829639835686,21.620136931878363,22.093290300732587,22.256659671939264,22.22935764948296,22.236745351703167,22.389763603289712,22.20701182477881,22.039480794656374,22.039982338121007,22.5427670679353,22.27522252945669,22.40555334004437,22.53687660404365
P00579,22.47756674055084,22.738623651443167,22.66832454812589,22.637566052853487,22.79271253186728,22.745900359298602,22.61020596196908,22.686127370645647,22.778375904078192,22.62817705811852,22.627285738395152,22.54378567098757,22.53617854097958,22.846660036925933,22.774280570818974,22.916564782028168,22.850085530326144,22.427257239381774,22.18149973444445,22.708013506961024,22.74950718793127,22.738977340487313,22.697280769671462
P00579;P13445,19.928695649283394,20.01235546137433,19.970729383566358,19.49802938835463,19.592816710042616,19.74373605905311,18.796673346192026,19.846079686556532,19.692184879670055,18.5071826458439,19.680347488517146,19.762526702909064,18.668301850969655,20.083476354184853,19.43568468775222,19.669098782481523,19.82378791935201,18.779696106404128,17.853454208790296,19.69178229070776,19.749755554537497,18.29728105434611,18.614691763681655
P00582,21.874206918287342,21.999912752778776,21.968604537443227,22.08777099651362,22.101566998030037,22.087935593109627,22.20393948387848,22.12715143016964,22.149532796285058,22.2999883960954,22.070400853951426,21.983285301796307,22.099300134706787,21.890623308587408,21.96735253616027,22.12460356555559,21.789727999734872,21.953114696419988,22.040011760160006,22.08270636183621,22.11834365320493,22.1473006299427,22.003170486866566
P00634,19.71004514484222,20.37801286859748,20.02362185641002,20.04078171398666,20.28784052863498,20.340353354556015,20.060765104490233,20.3242857386643,20.601332183235513,19.847088079729012,20.400683806716014,20.065047997655057,19.641264717816302,19.7046718140718,20.132990325674275,20.118617825226966,20.00376417815665,19.41322301504318,18.88598830341169,19.671846370964627,19.926852330957974,19.900449995606817,19.60680970143271
P00803,21.359602013647592,21.90330102647637,21.57622493208962,21.78063486314323,21.83650344193687,21.82688495521967,21.89805477299255,21.84290701358738,22.17929464389791,21.87441133874337,21.829101599001877,21.746527688815622,21.36723776024524,21.765676945487392,21.778668945053806,21.806960996652162,21.43635567495392,21.616264764968854,21.410440737409566,21.790756566595146,21.656481188949158,21.620997584904785,21.814550504820698
P00805,23.548758652196614,23.456698606323748,23.39474437236933,23.898096937354328,23.374887644656624,23.87802408892207,23.335862309133955,23.110272630247792,22.890626827244,23.50435472011038,23.46723551132692,23.752454549120976,21.65868834172758,21.900674087684912,22.008452117157315,21.556082108933037,21.972229994271093,21.12069596426239,21.041606872806756,22.138053306723926,22.07442278489899,21.51144335121727,21.514045727007122
