rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_014_R2,BBM_673_P283_01_VEB_015_R2,BBM_673_P283_01_VEB_016_R2,BBM_673_P283_01_VEB_017_R2,BBM_673_P283_01_VEB_018_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_020_R2,BBM_673_P283_01_VEB_021_R2,BBM_673_P283_01_VEB_022_R3,BBM_673_P283_01_VEB_023_R3,BBM_673_P283_01_VEB_024_R3
A5A614,19.04454095723355,18.69327068130628,18.152593812003985,18.89835130799908,18.353557655393676,18.625378715052037,18.491614220494625,17.614572633516318,18.67378128857078,18.44412734515432,18.36436039773361,16.919487017102593,16.62172787773339,17.211308399352735,16.99081785332858,17.176245895473635,16.84857840731414,17.063418084200887,17.137436811926822,17.30198687998835,15.81139932836549,17.07596191640884,17.307080535544205
O32583,19.352697280805803,19.190870712877302,19.48037993140666,20.058500639501247,18.505351756781952,19.57870966382651,19.97107588485414,18.346094425640583,19.817877268877282,19.342181714791653,19.594434157448124,18.769666792073597,18.500511497218092,18.900219542774543,17.710448564592756,18.06355290694986,18.01571819573285,18.35596336241233,18.216238554381295,18.685887838073842,18.21450008578504,18.12531433848516,18.26393767603874
P00350,25.215870505775804,25.20406730667098,25.285710844289323,25.147216545612903,25.272766395741016,25.2092868454103,25.068504346335573,25.31183373857383,25.192050609594386,25.239393413195273,25.257031542927987,25.393773843310388,25.51573134182753,25.502896033094896,25.450624178767942,25.501200370303188,25.41256532726042,25.51577774043276,25.465315376565492,25.404388564115987,25.411438529429486,25.522092567899897,25.538125280880646
P00363,23.38933564193928,23.40429786911513,23.430701909859152,22.570090791903908,24.0766594647322,23.323393060873684,22.703460152755326,23.74825287699123,23.044466546955857,23.244183753030036,23.23624437156201,22.880511459893242,22.982496595546575,23.275962522466994,23.174472755202416,23.20811024876797,23.148760786367657,23.264109820141588,23.25708657207899,23.267541458819196,23.073722187689377,23.58841512637901,23.300392871994028
P00370,24.461932054657108,24.339642279423824,24.245185565261483,24.44706301530889,24.971621038161445,24.383148691761463,24.212083077035825,24.65205272780733,24.118274989989544,24.34410051264576,24.325862784133268,24.569235745070106,24.671018533571864,24.861390892131645,25.00283882261079,24.92575730521361,24.91832406232254,25.016909481626843,24.975365713987358,24.747893958056473,24.631536434953382,25.080781773918655,24.917694086250926
P00393,22.397154899055096,22.41807938134214,22.72144915127949,22.621764907223923,22.448694839957863,22.412526748800914,22.549376035603718,22.571312895815293,22.511776494640053,22.596543630604785,22.64489172978852,22.261817827241092,22.532402238246718,22.50948588736778,22.78665551486751,22.694387861138672,22.579769616863484,22.588563789332863,22.722715279066072,22.422371562282457,22.515674650467645,22.58000778883559,22.628259142300376
P00448,25.214075728186884,25.211515913767442,25.292339619099565,25.796291579753884,24.66509382910303,25.568175763849187,25.664579228290613,24.69530947177423,25.67201293892374,25.445098462705474,25.4709275880117,24.45440933629922,24.398123477642812,24.652357336072132,24.625270089102965,24.784482189104267,24.306268588235028,24.66800916954076,24.634252270016283,24.431636297930815,24.214103141609616,24.790245048535674,24.58761917860056
P00452,22.58758369134368,22.700240195871395,22.778778175348886,22.868007359203414,22.466996326476362,22.574878086862793,22.946909798741245,22.931251408847803,22.72538930379453,22.814207685228318,22.876255106393533,22.254544349210747,22.487540021584845,22.57260287403864,22.74511614307503,22.81712595312824,22.97549877650709,22.61316645536893,22.63466061548302,22.296194806755476,22.278097771491893,22.53799775924416,22.599596318175966
P00490,21.85205255916562,21.883630115935766,22.15467441754736,22.21522756128675,22.068891124201755,21.986930021809663,22.242313329688564,22.200427160162384,22.121631850256104,22.105469916183317,22.19143902762288,22.74708019207001,22.935102289071846,22.934661232832088,23.046758193604244,22.986860799497745,23.167922529960634,23.060905693353323,23.011885759592786,22.881512909287288,23.06060253895032,22.91979809968313,23.00637856741148
P00509,24.84178194953562,24.89992716484,25.11954690278814,24.98314200206285,25.094977908754835,24.98382805366413,24.986797179802757,24.93089557351529,24.91246708121235,25.060488999230373,25.141899908263312,24.659758544621674,24.79359422766262,25.005808243430753,24.890072055432853,24.884374542521574,24.840264284567755,24.965710189910112,24.89639102320338,24.733966971220806,24.7223886026463,24.925477853279144,24.978775076678204
P00547,24.306295901979897,24.302189949297713,24.34313582272086,24.302477128744812,24.471158685585998,24.425963488940315,24.39841335538043,24.530055155004828,24.278036092617317,24.22008627449704,24.254380684908426,24.314472915774633,24.180005339537946,24.090560606590678,23.97640803774525,24.04680224660043,24.037564118870616,24.023517878767375,24.01216780459565,24.0877477288851,24.19574267735175,24.10686168549067,24.15266114676299
P00550,21.17502593707333,21.34292149372935,21.44014846717941,21.50561005393849,21.566784082762904,21.417810748633833,21.365398866353377,21.537519656306028,21.468340279617834,21.43075909579627,21.529876711424826,20.67103884222883,21.10560772328386,21.17801941539757,21.26185882312983,21.241772656273803,21.142100384424705,21.212816103300206,21.163361126110686,21.001954726258404,21.013054064824953,20.904391075851166,21.149219060600476
P00561,25.767854368700036,25.823735091294143,25.76152479990472,26.092162007390865,25.728198569098293,25.78371895026364,25.99676233153596,25.887568308858008,25.75683683456255,25.76789056139303,25.805788375324443,25.020166020405387,25.49514574671901,25.519726649717953,25.61337998392985,25.560862582097336,25.56277261417657,25.59819400650267,25.552756002656928,25.27575440635348,25.371134467546316,25.491939403831346,25.626562788402893
P00562,21.73567815951544,21.83426362249405,21.738204033879647,21.487370150436732,22.37183378311485,21.561720516727565,21.398092432082407,22.09808901682499,21.5070997778901,21.656681963896514,21.651574297602572,22.002737810607936,22.332111718905665,22.157835650180903,22.409266220434812,22.38343372850495,22.421502999154015,22.213633789733944,22.245953881573584,22.04198943538843,22.25487195871797,22.262951939214545,22.157521160790175
P00579,22.589577241323862,22.692608094540045,22.672120989640007,22.732942112918824,22.655952541402872,22.515981864846285,22.600977624380455,22.575692556394582,22.527658948915708,22.614126753540152,22.59647844185597,22.657412574375485,22.708573200829264,22.72709971840002,22.79435970268523,22.657437448497962,22.751672988826478,22.725368479494943,22.795603363083657,22.599536995357752,22.64792087966489,22.75098155739387,22.868011486122136
P00579;P13445,18.609227620741446,19.068212175864858,19.483576286076193,18.818820235830053,19.484594970034657,19.29187960385913,18.80412723955071,19.624155259827344,18.901209180072577,19.037448600882662,18.941159704692485,19.508606908063182,19.627677859519196,19.735379670018116,19.701614513691357,19.64388990103674,19.73154189655969,19.924177588790695,19.8873394591846,19.63884597805521,19.519570929321887,19.41407948062358,19.530382557995182
P00582,21.885811274004585,22.0667069442899,22.126588252963614,21.989977470115253,22.133710790407502,21.975658261176196,22.008843089291492,22.241050596859203,22.043455538819902,22.07154999689966,22.176722053329954,21.844874337778183,22.141551759715156,22.037049003958394,22.09793036144368,22.112936412367183,22.192167138903578,22.073034248197402,21.999954076065933,21.883305493794268,21.930894163629116,22.046245892610017,22.014063696859875
P00634,20.427042227478115,20.138219598039413,20.22859222221322,20.420900329188154,20.19638208678976,20.403310082871474,20.591465831542745,20.093890539865594,20.58692265338248,20.279527609853055,20.3529634482081,19.90516238914307,19.65584447475318,19.674466078376934,19.408730698469533,19.414903979900142,19.436628451605884,19.525273399508098,19.624934946675214,19.684073777943617,19.58232307087427,19.518460373211234,19.391373216087693
