rowname,Ref8537_QC1_20230414_1,Ref8537_QC2_20230414_1,Ref8537_QC3_20230414_1,Ref8537_QC4_20230414_1,Ref8537_S4_20230414,Ref8537_S8_20230414,Ref8537_S11_20230414,Ref8537_S18_20230414,Ref8537_S21_20230414,Ref8537_S26_20230414,Ref8537_S35_20230414,Ref8537_S37_20230414,Ref8537_S45_20230414,Ref8537_S49_20230414,Ref8537_S52_20230414,Ref8537_S60_20230414,Ref8537_S65_20230414,Ref8537_S69_20230414,Ref8537_S75_20230414,Ref8537_S79_20230414,Ref8537_S82_20230414,Ref8537_S88_20230414,Ref8537_S94_20230414,Ref8537_S100_20230414
A5A614,18.070989483933044,17.76462591500736,17.64576942736602,16.94823466595675,18.207038725480935,18.27644717152342,17.904974957929653,17.338930234619223,18.004804886257784,17.771140243042595,18.406926580612566,19.198654074890257,17.99002828806486,17.33508089840848,17.444349050194454,17.84789396598795,17.366503219263357,17.466653801212466,17.577322338156822,17.2362338649543,17.61855241176917,17.560684164974738,17.144093689901986,16.870494740017968
O32583,18.781435011941817,19.05466822062617,18.630225332943333,17.69929375252294,18.90510867497133,18.450845989694592,19.05067402719321,19.22559138115526,17.732919798770844,18.853438036872504,19.222156329896933,19.322558148431654,19.2560007671798,19.16251824069385,18.5092446203096,19.169471910137254,18.56103505635383,19.16568478884472,19.321534145594498,18.986752468233753,18.28898039246033,18.956676176200027,18.787240586050117,19.109558759164692
P00350,25.191545180367555,25.22206587066659,25.397686558945527,25.435469702617358,25.39255569089922,25.312227676381703,25.222999432336557,25.246088147836264,25.09992686697066,25.26596247227055,25.269842456938868,24.58582873011348,25.391005943212907,25.262662314029942,25.396643456929166,25.46529676756288,25.626527603638852,25.389685499889747,25.62282655704471,25.52760635684348,25.451861258763596,25.489653451274908,25.503801943366785,25.504535811458293
P00363,23.465464250429,23.547265816058218,23.542874102854597,23.39659088229042,23.45058028161037,23.397542444342864,22.79700369322287,23.257754797885234,23.56994855814714,23.25669892119183,23.072856149587462,22.377732157236057,23.152456783570624,23.409372563502142,23.3996329981759,23.13019967426736,23.208335561595636,23.308186657681095,23.004825096978614,23.2178489656949,23.145120191932453,23.41615903348273,23.24336515481356,23.12368629374789
P00370,24.552312738379726,24.476555189794794,25.159310440382928,25.0082975503136,24.4574606408394,24.41053343002815,24.294272402899637,24.372862178457286,24.459425519551058,24.16747274934817,24.199556389942355,23.272170592848763,24.298924504459197,24.184377171162048,25.190840211912608,25.059430844063865,25.05612142182291,24.4241100730871,24.9165994521423,25.02165164079724,25.19128364367563,25.41961030276702,24.50415711489599,25.088971912629788
P00393,22.707750647452258,22.756563947773127,22.637289522951665,22.740354798870484,22.48435636218791,22.722463412911434,22.8086675985962,22.367565291263883,21.78037626252579,22.540876326830176,22.67540557411727,21.68100421460678,22.781123466518086,22.475817971210862,22.605777085730402,22.752957467745144,22.52059191393708,22.231618529598503,22.672538829189286,22.513161822014915,22.776390909159524,22.84247118765479,22.408210265892574,22.731786587699897
P00448,25.077325711048278,24.992484343741754,24.43294514970803,24.34706579347102,24.98359183342185,24.711330800486547,25.695811213139013,25.469685723713468,25.023436071120425,25.383364376378342,25.152789500670913,25.79072867589487,25.470522250177286,25.578296374458656,24.562060891612035,24.352342109216554,24.697453077817663,24.54572142685994,24.74353660192424,24.90767977738039,24.62140869982041,24.425628060418454,24.842374481652893,24.723110448925464
P00452,22.872321191399486,22.932508596801505,22.578484128676976,22.718933063746213,22.669021057918044,22.907830259458116,23.030607319839724,22.52225896211408,22.016580843882913,22.699084935120183,22.858047399952895,21.838697837046396,22.973247239510954,22.613607038834154,22.636296840003524,22.712602782538752,22.752143665955685,22.166128208905036,22.86612173525753,22.58538175127402,22.785107375799846,22.753923146364585,22.54055307028792,22.748888586408455
P00490,22.22473802898301,22.353414667273963,22.953265216091093,23.077963603107317,22.098735283541654,22.167945956039027,22.5615028119647,22.206019794743366,21.670917117975733,22.240926527684696,22.138541828822554,21.34283042065508,22.345029429605713,22.207106721406596,23.002230100750293,22.85635471388929,22.94939119760207,22.655078809447794,22.822548532023458,23.05585131363757,22.983407537006183,22.996979102768478,22.943290037906905,23.04560184931151
P00509,25.17366302366887,25.126156524907916,24.649539655523046,24.78222563864983,24.875478119973288,25.285374273545614,25.21716190308439,24.92205162092592,24.561231588196584,24.963836374769535,25.205052795176726,24.62675049996703,25.245063065001418,24.97458451854947,24.696742176695643,24.898568316840393,24.926062112740436,24.692749394000153,25.032034234343534,24.784641221043202,25.03025878878992,24.87051624087269,24.75255217369244,24.96277298677341
