rowname,Clinspect_E_coli_A_QC1_Slot1-6_1_8640,Clinspect_E_coli_A_QC2_Slot1-15_1_8649,Clinspect_E_coli_A_S5_Slot1-7_1_8641,Clinspect_E_coli_A_S7_Slot1-24_1_8673,Clinspect_E_coli_A_S14_Slot1-11_1_8645,Clinspect_E_coli_A_S20_Slot1-20_1_8669,Clinspect_E_coli_A_S23_Slot1-8_1_8642,Clinspect_E_coli_A_S29_Slot1-19_1_8667,Clinspect_E_coli_A_S34_Slot1-18_1_8666,Clinspect_E_coli_A_S39_Slot1-26_1_8675,Clinspect_E_coli_A_S42_Slot1-21_1_8670,Clinspect_E_coli_A_S47_Slot1-14_1_8648,Clinspect_E_coli_B_QC3_Slot1-23_1_8672,Clinspect_E_coli_B_QC4_Slot1-10_1_8644,Clinspect_E_coli_B_S53_Slot1-22_1_8671,Clinspect_E_coli_B_S58_Slot1-5_1_8639,Clinspect_E_coli_B_S62_Slot1-16_1_8664,Clinspect_E_coli_B_S66_Slot1-13_1_8647,Clinspect_E_coli_B_S78_Slot1-17_1_8665,Clinspect_E_coli_B_S85_Slot1-12_1_8646,Clinspect_E_coli_B_S86_Slot1-4_1_8638,Clinspect_E_coli_B_S91_Slot1-25_1_8674,Clinspect_E_coli_B_S98_Slot1-9_1_8643
A5A614,19.457716598405842,18.500021976874176,18.38499656251147,16.038471617698267,18.35110915301877,18.51014884171598,17.677373680735688,19.011607074937256,17.17672827391847,17.757233596455794,18.28736928389004,19.71107019245901,,17.75815029442011,17.426426160245242,16.448530622864297,16.929577328251874,,,17.698118458340648,,16.422536352989802,
O32583,19.534901374103484,18.983681949018738,18.80980461241135,19.162320371633545,19.29084595764005,19.181880969468853,20.184318799134168,19.276868296840064,19.559952391189373,18.68021179310226,19.412305924495747,18.61298894314814,19.004358303942496,18.084099940827286,19.1193061544254,17.87101210601406,18.75657668674628,19.85511591947708,18.70442622513337,18.976883474537633,17.01357245147619,17.45610711851418,18.131918293190136
P00350,25.289227249006395,25.22530712976861,25.26986129443842,25.23548749606958,25.25351793719632,25.42315699688163,25.259043258353934,25.411886619014325,25.399719819571054,25.313491900949693,25.347557782553984,25.21617346945775,25.18192239019298,25.455938465538196,25.633411652282234,25.547502224380118,25.55846909656782,25.098782540132383,25.03820580194629,25.581063832214546,25.411282905592444,25.38362715059209,25.286787760805424
P00363,23.33064468626323,23.22092919417103,23.217940708505733,23.58667992339515,23.11632039894233,23.678955983463844,23.335691991949066,23.153230121932786,22.916697932609505,23.519295337148606,23.290811613157597,23.517704594285664,23.406991265905244,23.165107430492355,23.15922987571087,23.10192382980625,23.1138258487261,22.948736568280484,22.983435635554937,23.37927067350848,23.302885179752703,23.035805893288295,23.217260109491022
P00370,24.452964636558537,24.381093492794076,24.421525647684916,24.27181349569953,24.297239398989284,24.634944054262967,24.433292367433967,24.44664729073496,24.36868111993931,24.392388978936527,24.26696998991204,24.542778625565237,24.782362444428358,25.036772864324927,25.084011193982896,24.9987934655059,25.01242238966614,24.575296954064708,24.286939767501458,25.141115970524826,24.94311734825165,24.656359546918456,24.859845966472296
P00393,22.268366511028574,22.76124189703028,22.445335267960015,22.632862112594168,22.511335243601557,22.291842829354184,22.677589480907354,22.414301306657148,22.509660673477146,22.57100751386106,22.366976422451128,22.231808693532006,22.587307203534444,22.730065336484902,22.400907209314813,22.632151908989254,22.5396728857605,22.65428848226854,22.53191464077885,22.67640124401489,22.53731706436507,22.800647707536424,22.840296485548546
P00448,25.00470551258521,24.76726056170709,25.09151585494123,24.56594897978212,25.544780047772047,25.295412454807988,25.27630595671373,24.86639327972176,24.95879950491893,25.02778018177705,25.315587192115128,25.377753114024355,24.73452917706177,24.91689848934737,24.912448376205845,24.837754074679154,24.779790857332188,24.66872095056051,24.636649838677627,24.890954355834367,25.042016657143787,24.78229381374504,24.64733352575235
P00452,22.72900547659098,22.81688193348558,22.852716699714144,22.67784375218434,22.877701488126075,22.717020308835416,22.567042691968467,22.75889925395495,22.65018705043688,22.682129460114528,22.817319626486714,22.58723141821099,22.600339682182774,22.594527394677,22.578717231555316,22.94342057290986,22.502244704068264,22.31589331551277,21.98320289482749,22.859671829177536,22.723213997138163,22.673238414638167,22.650801142130195
P00490,21.929186940417388,22.13257935702061,22.099226239796472,22.098880530507188,22.12538113167694,21.852435637070208,22.253952519950438,22.165024320911037,22.173341946349204,22.16922630696014,21.913533493627455,21.8773122846855,22.989391779725068,23.01587471103148,22.805972813776314,23.075677419775545,22.798959867910042,22.769048964908173,22.93002096789158,23.261682115909217,23.16854630913768,23.082478810759987,23.254478295316645
P00509,24.948204899377906,25.18565390262784,24.950020383381727,25.08425163397323,25.16381888665699,25.170967012078833,24.920066891483998,25.17963701079959,25.257726531194322,24.95380051988753,25.168800306838826,24.825204159913675,24.551316817483958,24.912359923684654,24.90294269462531,24.931920301715316,24.94680520918282,24.65148826335198,24.3753373774515,24.89544670482782,24.812069565378515,24.80373871827539,24.811633505115672
