rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_26_s9,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_28_s17,20230516_EXPL1_LiSc_SA_S610_RT_29_s24,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_31_s33,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_33_s44,20230516_EXPL1_LiSc_SA_S610_RT_34_s48,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD,20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD,20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD,20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
A5A614,18.065595644134493,17.762115881447375,18.30065859034238,18.056197355894227,18.097237971084446,18.28458918327884,17.925400881610642,18.231097824421248,18.035543290297586,18.058337959245875,17.306474035680008,17.52780021247446,17.405187802182947,17.166235402210866,17.59867293683593,17.39329253917741,17.20383540472349,17.054728625657685,17.449525027177444,17.39762158182714,17.892748308329942,18.007765360586696,17.525813268257945,17.24995171264716
O32583,18.33671765502873,19.40412606513442,19.25361585007725,19.62783256767256,19.06294112483444,18.597395035351546,19.368319451663105,19.188194259589253,19.248649421193868,18.167106221930666,18.6891326756805,18.550593942322198,19.18705323557609,18.862315962447802,18.730590595168444,18.39707377086361,18.64475894160276,18.606797837015023,18.808259460893268,18.367137189385318,19.056828743126925,19.251514508113083,18.241439653212048,18.555218448360193
P00350,25.297877692781157,25.23106973474032,25.24147119365174,25.19930238581835,25.249676089822877,25.288979053721516,25.232503179116144,25.130696554843016,25.16346845993922,25.243040590011244,25.41458997615165,25.43725260603957,25.407032249530324,25.466401682811306,25.432510280937695,25.38338083399236,25.455557615981284,25.442218467769464,25.475157124973197,25.431631661381868,25.37195965505699,25.299587288196015,25.49199950958965,25.486941863502604
P00363,23.620515722509563,23.16792002598049,23.483579140509157,23.22336348055348,23.160345994306212,23.662582762178893,23.038607107815846,22.94174729618292,23.079054894676773,23.676076386823787,22.99949300355116,23.050133031850542,23.06585992508496,23.125285057171702,23.147303009969892,23.108985173407792,23.089361655154786,23.066047699042876,23.322325273829996,23.395857865691873,23.391042965789104,23.3185289252871,23.502539542581054,23.254945090349075
P00370,24.57775107741215,24.163574911761362,24.38208281347641,24.345928658244013,24.385032524578154,24.578659031464525,24.19032850386522,24.322395734861203,24.250427769086254,24.626087840304724,24.69625258630183,24.73610954660849,24.868865522195374,24.72928532248693,24.871555432097583,24.846920665998503,24.95202101617892,24.822248179695926,25.137597191018063,25.055955781344505,24.43315401421666,24.303740998113252,25.065198975111908,24.84513401977956
P00393,22.430437148733894,22.633771039471547,22.437062129233496,22.6751225716297,22.55103404558477,22.431685512980188,22.59358650316687,22.61039534386616,22.539672520960195,22.382513036003054,22.5760877651922,22.525120727964847,22.50471220956655,22.514975879543947,22.58850874808708,22.46468754181491,22.606537094044164,22.57411910118043,22.590059413794037,22.673044234161566,22.575137325362192,22.599735487202864,22.5933324871637,22.543782129729657
P00448,25.11398172638392,25.469081040888042,25.495130510188204,25.309339478848365,25.382581164618863,24.83670673210858,25.58370926401529,25.672225477825414,25.660534490684455,24.894321603968308,24.645001639737348,24.68468295427095,24.874863305308352,24.303652810059255,24.488667323470967,24.31281218082663,24.466731652931927,24.727553746823766,24.56788490350299,24.199011492338,25.3105018875559,25.26831037786057,24.602216312702605,24.66119131614001
P00452,22.61914177433758,22.874784315069295,22.620440404927102,22.776511810004468,22.8112239475198,22.629740873182946,22.85687385645193,22.824003544190507,22.738956366119233,22.668444511804115,22.623957546732704,22.55884260297304,22.367401489333304,22.645614918888175,22.584367574446578,22.520349246073383,22.581663687163974,22.571621655962286,22.582495177398375,22.581822103207713,22.84667043040706,22.772133720427338,22.570650847201037,22.55066463327502
P00490,21.932273904966628,22.319627061229156,22.0485113629005,22.237332443302527,22.289906222330252,21.90857759098767,22.265179285110477,22.272703320309425,22.242694000614165,21.964128422572394,22.89433172731804,22.828912321456436,22.641560868901713,22.859857040442463,22.890947371655038,22.942646528061736,22.981702033027453,22.987999813921746,22.985540990449294,22.981273407546006,22.279260890953893,22.248126402809156,22.944833136907285,22.951744454464425
P00509,24.86445868246174,25.11393259374265,24.985014495523114,25.085104798728302,25.06713977869044,24.910040329835198,25.052037664476607,24.90620863171683,24.91095865896337,24.849190320036325,24.85379998688245,24.8531397556327,24.85764279737679,24.899378371364172,24.850968294565035,24.862845392456688,24.90269610077696,24.876123855823845,24.835392443151555,24.809422218294696,25.140732839610816,25.136095474546927,24.793382417804448,24.83936134526986
