rowname,CVT09_QC1_LabE_X023,CVT09_QC2_LabE_X024,CVT09_QC3_LabE_X025,CVT09_QC4_LabE_X026,CVT09_s3_X002,CVT09_s10_X003,CVT09_s13_X004,CVT09_s16_X005,CVT09_s25_X006,CVT09_s28_X007,CVT09_s31_X008,CVT09_s36_X009,CVT09_s41_X010,CVT09_s50_X011,CVT09_s55_X012,CVT09_s59_X013,CVT09_s61_X014,CVT09_s67_X015,CVT09_s73_X016,CVT09_s77_X017,CVT09_s84_X018,CVT09_s90_X019,CVT09_s93_X020,CVT09_s99_X021
A5A614,17.24370798000945,18.317695201252956,17.990624642523848,17.475795347648113,18.117966739131585,18.174929381164194,17.64134352715499,18.388330294619585,17.932381445074903,17.885580756256854,18.13204276299516,17.661518258067378,18.41297065039815,18.452588685205754,17.455913929004097,16.936993773202477,17.52850974315521,17.442394266228987,17.378573232069087,17.007672069989418,17.209525848699677,17.32059739497628,17.87803898120449,17.01073188949357
O32583,,18.864138176115304,20.05052648394789,,19.254325850609415,17.473251338187914,19.64082684510603,19.38321122192731,20.398419174577736,19.858615918170724,19.267534939901793,18.976493556894766,18.16063386405635,18.627921950270103,,,,18.010997670521647,18.83517002822355,,,,,
P00350,25.514916369165014,25.235819259735457,25.276762520644024,25.48726947984007,25.312656338370143,25.076486346851762,25.34458847904303,25.129814836556665,25.135803752513453,25.039700107809796,25.1415714186198,25.375132219968993,25.326049854068085,25.10713479697134,25.470013527468375,25.525841684514177,25.46982648398651,25.484165901906415,25.498536350677757,25.4931186481184,25.44433093001208,25.473699820534723,25.442542480970356,25.468524142012985
P00363,23.246012945229353,23.422520653755186,23.355218226654312,23.50501488599383,23.559406030006336,23.105030947848768,23.366955328715516,23.442223055308375,22.95125440346482,23.031221628848794,23.141311387204247,23.631455464465756,23.727747657649527,23.322724099945557,23.175438240221297,23.056062567355074,22.88734585585787,23.106728929601278,23.259469521237666,23.07996087799078,23.078504500688112,23.169061494875876,23.222311275452846,23.048521051927658
P00370,24.88805672304481,24.38624289197727,24.200118946945558,25.11912919328937,24.57012630680657,24.039414478461982,24.41370376723356,24.41298950468834,24.129447430850504,24.21151337761639,24.253611935335694,24.66456210713686,24.73895455200484,24.49200112893943,24.89057703229175,24.88224880593712,24.821331455212402,24.74488739944145,24.937981031206714,24.918904087354157,24.852302136927868,24.891949892939646,24.994463488525533,24.731790442033716
P00393,22.689082882977555,22.50329381336898,22.56815960843804,22.664894947948525,22.579562882220372,22.278125519867825,22.643792751822414,22.40220410662879,22.637341155665073,22.408217424964196,22.391538118348087,22.535329685568414,22.450662966080557,22.250598894914663,22.647266935118022,22.53190052118561,22.705615572589704,22.535256869015363,22.551077820466357,22.658130912493945,22.657109448178304,22.607829349368274,22.59191115659446,22.7262166526145
P00448,24.47711402133373,25.43148980546759,25.490987806128764,24.304517925356144,24.887519569007466,25.906684583787598,25.47416208849066,25.377746098140936,25.626794413545923,25.595234486913157,25.572708504069414,25.071557102972374,25.123564224800404,25.34942959040698,24.376226851582867,24.4946789894476,24.443317815492193,24.58563242032045,24.241828166316512,24.584589028614186,24.432237985439567,24.65308904236053,24.327919118897064,24.701663754166642
P00452,22.745539284413987,22.62410321887566,22.58851169569987,22.70251379901864,22.695842308117378,22.29978781524853,22.84716945146487,22.518147702390337,22.819793953411043,22.403945787627535,22.420361895941255,22.905220265590856,22.643361879441187,22.305084731989055,22.720199203374648,22.71089922588935,22.66899462493408,22.78437899630375,22.75529402280879,22.72857646337662,22.66639514687055,22.778041848237798,22.708962359972602,22.737251356098618
P00490,22.99729342675494,22.18954125262669,22.16637662688499,22.91820175377941,22.073762336989688,21.97979903283084,22.214019814012744,22.02582487584381,22.310658948178013,22.166371999133524,22.100001160364307,22.16354166393626,22.021011444090302,22.143661626203176,22.83626183377229,22.878961852436454,22.88871386811265,22.858501828487913,22.968988056625147,22.98403746053229,22.969075607396654,23.084582394960787,22.983115579754976,22.977366158530106
P00509,24.8895963364958,24.958808671245993,25.044970592878997,24.872070619787916,25.078662402308296,24.652533516893595,25.201524805037696,24.89400151539162,25.014450560739615,24.759872067850868,24.756731098533187,25.156870957316475,24.929747001666087,24.751844996469593,24.909329076775936,24.990213988202292,24.8571598197898,25.009850856583427,24.94792518741541,24.952099740638076,24.87284449000919,24.94298759573864,24.903551152180913,24.907420197782223
P00547,24.006331076556023,24.32249025616974,24.300955588703612,23.984402779009308,24.311200350844828,24.51314707534891,24.34824473327233,24.6009361003755,24.56883014286332,24.547898948512394,24.570302186312453,24.369505846515374,24.53367797543694,24.610287878159905,23.94298929899952,24.109576606708305,24.02687686753505,23.937202857094483,23.95348239186134,23.996815072476906,23.992741488017785,24.03382033244377,23.9879583391619,23.89068746138848
P00550,21.04725582157348,21.522421591570176,21.48590984650132,20.933720940418088,21.498138976010825,21.59022040354577,21.52299791478544,21.47157812123275,21.548010756319414,21.565375457917078,21.562677024317242,21.374994693837543,21.19610480506892,21.442868024822683,20.990071003000153,20.99053830087813,21.076281943808716,21.103708550005976,21.061919999277176,21.093727063966448,21.07180096936389,21.024569295747316,21.023397161330042,21.058563063029393
P00561,25.605477932632578,25.595140533975027,25.590797581911076,25.56861873645783,25.647471714794996,25.48956229671811,25.8801118540283,25.810248235717523,25.860793594520633,25.670743948258686,25.695612063389937,25.825678177669285,25.941884378270952,25.812577732189943,25.527068955393236,25.584173891937606,25.51456513901818,25.599819705175783,25.5794833700961,25.58146246507249,25.508439406369018,25.60066754046178,25.615230677366004,25.554946678253128
P00562,22.21630516734627,21.733228735744728,21.692463565452837,22.39366518190906,21.990548499512503,21.480016284690798,21.699740874085144,21.703083839829414,21.483699554835727,21.47933538202695,21.436432913478058,21.84561020908739,22.02936847798946,21.573847347561,22.26662707663545,22.250960980710484,22.34581137126597,22.23360181033098,22.340638044159384,22.28377568236115,22.328495697619353,22.28355282737413,22.251920742219585,22.288118760576648
P00579,22.765159097627524,22.59983903321779,22.48892468764992,22.723783232038652,22.67323663237681,22.374110461687938,22.714981553329256,22.632591524006795,22.623250180888476,22.56129479767335,22.540233562050872,22.725428294068777,22.73485023149378,22.582829239136863,22.751423090895614,22.784719526778265,22.744886135452155,22.76132632756087,22.695495431426195,22.72792067362088,22.74241171237371,22.75326682833221,22.699803170513633,22.67774017203266
P00579;P13445,19.74880431075753,18.91797623814005,19.187263209384973,19.71474353545823,19.195478394785788,18.375885370301596,19.287898374087895,19.297953783280164,19.276120181060616,18.841780737847227,18.84634154497499,18.992285056275893,19.343276234995813,18.78755021325333,19.6507543235899,19.383986467068837,19.759850166340723,19.702344247118816,19.57610276317479,19.997377851012768,20.033521683161286,19.88214331950598,19.609077683257333,19.787598534571927
P00582,21.983998447388036,22.12080130443432,22.05622002122213,22.003092597541922,22.095079993123818,22.034442077874356,22.169575965101835,22.03078651270679,22.152878280439314,22.09874756685489,22.063813228744994,22.167750940659438,22.122344543542557,22.02998191232702,22.014216476661364,21.978842506708908,21.996473465740298,22.05760667864912,22.08620561865776,21.95049332817245,21.924721528977734,22.001806034239284,22.031807535307863,22.00986058883398
P00634,19.441574171633253,19.80547366686101,20.247013638342388,19.601533328693026,19.829385470747535,20.652062159020403,20.288667795752712,20.138545125113147,20.48469540584129,20.355430796495384,20.407920142032047,20.23261442109481,20.012714965853164,20.516991490317405,19.70856912437247,19.88502090094876,19.517355238388898,19.70482823961586,19.663538539950352,19.52269241459633,19.70451162409476,19.87599226113827,19.649377457540435,19.51578472165785
P00803,21.70292188969211,21.714966572958254,21.805339803037636,21.621844431376964,21.71162104352052,21.773634192144872,21.790246410807782,21.764418481595783,21.76587189138112,21.71411800084476,21.821312023660628,21.868870795115605,21.927858074498207,21.775686731574485,21.702482947743945,21.529283152276705,21.73356096251613,21.69892930069896,21.707504197776192,21.628775700829628,21.662076733124067,21.59849936771607,21.732468210909328,21.668513133721405
P00805,21.69394789946776,23.604150273325313,23.600743339709936,22.171843519272226,23.620369717566213,23.31216092848767,23.5066148612152,23.756471853748334,22.8122816007243,23.186146106180228,23.34544875211837,23.60589970870367,24.002293697202674,23.613302228439007,21.80572959673304,21.51797483699659,21.502025154958456,21.04307897098311,21.733190527427187,21.729410915414913,21.70922148061092,21.713979285749925,21.800335174105893,21.45006590756057
P00811,19.77595679356191,19.80403712532302,19.748711747980007,19.6318248497764,19.704695582281495,19.57420543767239,19.78123847572836,19.80917140135323,19.813629435727496,19.651114570082438,19.60040956654391,19.707855163586576,19.88130420249395,19.604811069479005,19.750529791316378,19.89971746037573,19.8015055117639,19.95040580326543,19.733693378996627,19.798195133301586,19.582132283520927,19.62663305496303,19.725747361250264,19.831246774413156
P00861,20.983854395524766,20.183340517153866,20.138601148471956,20.95206002489946,20.44798320436155,19.753880105608765,20.43073494678024,20.105371112519748,20.152244132849184,19.813365886391495,19.86510204676504,20.40234925177632,20.36914144471414,19.937591887730548,21.018284023153342,20.968747573754875,20.840900317101166,21.160706752590357,21.0662277443679,21.001349677485557,20.950232032550588,21.00899384191004,21.019337708385933,20.9022598659816
P00864,25.75989583060499,24.462814315233423,24.340640834385013,25.844019224014936,24.486251664495516,24.021628587391064,24.483336344009803,24.362179452357005,24.358751268787397,24.18019404884662,24.202005066705198,24.562114596992945,24.521130751690563,24.263033032926945,25.696207752027433,25.70798386461273,25.62212728936397,25.79162964797772,25.79688367331226,25.786411257032732,25.729103938514246,25.81077162089732,25.798129226357783,25.705060117197306
P00887,21.829756585759704,21.883750885892354,21.937148374156415,21.950053783231127,22.06514334318225,21.709597554269052,21.91958303130155,21.925287746997334,21.729435310484234,21.749179997943827,21.627604591577516,22.0044140973679,21.935797085929813,21.751126077638062,21.86742950839251,21.889892348692868,21.748299712266245,21.946710753889867,21.820643303941026,21.812483128966896,21.839426116726628,21.808047774517142,21.87574850124446,21.795181837492756
