rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643
A5A614	19.32922033407813	18.371525712546465	18.25650029818376	15.909975353370555	18.222612888691057	18.38165257738827	17.548877416407976	18.883110810609544	17.04823200959076	17.628737332128082	18.15887301956233	19.5825739281313		17.629654030092397	17.29792989591753	16.320034358536585	16.801081063924162			17.569622194012936		16.29404008866209	
O32583	19.56488026926574	19.013660844180993	18.839783507573607	19.1922992667958	19.320824852802307	19.21185986463111	20.214297694296423	19.30684719200232	19.58993128635163	18.710190688264515	19.442284819658003	18.642967838310394	19.03433719910475	18.11407883598954	19.149285049587654	17.900991001176315	18.786555581908534	19.885094814639334	18.734405120295627	19.00686236969989	17.043551346638445	17.486086013676434	18.16189718835239
P00350	25.293928041930517	25.230007922692735	25.274562087362547	25.240188288993707	25.258218730120443	25.427857789805756	25.26374405127806	25.41658741193845	25.404420612495176	25.31819269387382	25.352258575478107	25.220874262381876	25.186623183117103	25.460639258462322	25.638112445206357	25.55220301730424	25.563169889491945	25.103483333056506	25.042906594870416	25.58576462513867	25.415983698516566	25.388327943516217	25.29148855372955
P00363	23.328324991670264	23.218609499578065	23.215621013912767	23.584360228802183	23.114000704349365	23.676636288870878	23.3333722973561	23.15091042733982	22.91437823801654	23.51697564255564	23.28849191856463	23.515384899692698	23.404671571312278	23.16278773589939	23.156910181117905	23.099604135213283	23.111506154133135	22.946416873687518	22.98111594096197	23.376950978915513	23.300565485159737	23.03348619869533	23.214940414898056
P00370	24.464537169944343	24.39266602617988	24.433098181070722	24.283386029085335	24.30881193237509	24.646516587648772	24.444864900819773	24.458219824120764	24.380253653325116	24.403961512322333	24.278542523297848	24.554351158951043	24.793934977814164	25.048345397710733	25.0955837273687	25.010365998891707	25.023994923051944	24.586869487450514	24.298512300887264	25.152688503910632	24.954689881637456	24.66793208030426	24.871418499858102
P00393	22.27059224474751	22.76346763074922	22.447561001678956	22.635087846313105	22.513560977320495	22.294068563073125	22.679815214626295	22.41652704037609	22.511886407196087	22.57323324758	22.36920215617007	22.234034427250947	22.58953293725338	22.732291070203843	22.403132943033754	22.634377642708195	22.54189861947944	22.656514215987478	22.534140374497788	22.678626977733828	22.539542798084007	22.802873441255365	22.842522219267487
P00448	24.989500371040627	24.752055420162506	25.076310713396644	24.550743838237537	25.529574906227467	25.280207313263404	25.26110081516915	24.85118813817718	24.943594363374345	25.01257504023247	25.300382050570548	25.362547972479774	24.71932403551719	24.90169334780279	24.89724323466126	24.82254893313457	24.764585715787604	24.65351580901593	24.621444697133043	24.875749214289783	25.026811515599206	24.767088672200458	24.632128384207768
P00452	22.727340012313793	22.81521646920839	22.851051235436955	22.676178287907153	22.876036023848886	22.715354844558227	22.56537722769128	22.757233789677763	22.648521586159692	22.68046399583734	22.815654162209526	22.585565953933802	22.598674217905586	22.592861930399813	22.577051767278128	22.941755108632673	22.500579239791076	22.314227851235582	21.9815374305503	22.858006364900348	22.721548532860975	22.67157295036098	22.649135677853007
P00490	21.947446573549144	22.150838990152366	22.117485872928228	22.117140163638943	22.143640764808694	21.870695270201963	22.272212153082194	22.183283954042793	22.19160157948096	22.187485940091896	21.93179312675921	21.895571917817257	23.007651412856823	23.034134344163235	22.82423244690807	23.0939370529073	22.817219501041798	22.787308598039928	22.948280601023335	23.279941749040972	23.186805942269437	23.100738443891743	23.2727379284484
P00509	24.944924967193934	25.182373970443873	24.94674045119776	25.080971701789263	25.160538954473022	25.16768707989486	24.916786959300026	25.176357078615617	25.25444659901035	24.95052058770356	25.165520374654857	24.821924227729706	24.548036885299986	24.909079991500683	24.899662762441338	24.928640369531347	24.94352527699885	24.64820833116801	24.372057445267533	24.892166772643847	24.808789633194543	24.80045878609142	24.8083535729317
