rowname,Ref8537_QC1_20230414_1,Ref8537_QC2_20230414_1,Ref8537_QC3_20230414_1,Ref8537_QC4_20230414_1,Ref8537_S4_20230414,Ref8537_S8_20230414,Ref8537_S11_20230414,Ref8537_S18_20230414,Ref8537_S21_20230414,Ref8537_S26_20230414,Ref8537_S35_20230414,Ref8537_S37_20230414,Ref8537_S45_20230414,Ref8537_S49_20230414,Ref8537_S52_20230414,Ref8537_S60_20230414,Ref8537_S65_20230414,Ref8537_S69_20230414,Ref8537_S75_20230414,Ref8537_S79_20230414,Ref8537_S82_20230414,Ref8537_S88_20230414,Ref8537_S94_20230414,Ref8537_S100_20230414
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58,19.299778167423447,19.030211804291344,19.405552847857237,19.045119724488913,18.12171056523948,18.602959779031035,16.73956967402599,18.97675429245452,18.67904018639306,19.343285494239552,18.646713388830587,18.491109328095565,18.281182956422107,19.324028880535483,18.722063716597223,18.76880784644359,18.36133555671204,18.70616547050486,18.906702732460797,19.45819631703324,18.583872406914036,,19.20968895332785,19.045594371542965
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58;P76071,23.226049783560608,22.995879091238308,21.731331876655567,22.330914963871667,21.859730788118927,22.77984216626841,22.72555619063078,21.841733633958157,20.917703500172433,22.011602294167584,22.978264092866358,22.838468975225616,22.898034291413737,21.545430684137916,22.28700804848686,22.34871924064873,22.117666878452535,20.747153015002574,22.205678422744203,21.903610853182464,22.573591025262406,22.646469278979197,21.694257978137223,22.099543332491304
A5A614,20.95899938218996,20.652635813264276,20.533779325622934,19.836244564213665,21.09504862373785,21.164457069780333,20.792984856186568,20.226940132876138,20.892814784514698,20.65915014129951,21.29493647886948,22.08666397314717,20.878038186321774,20.223090796665396,20.33235894845137,20.735903864244865,20.254513117520272,20.35466369946938,20.465332236413737,20.124243763211215,20.506562310026084,20.448694063231653,20.0321035881589,19.758504638274882
O32583,23.552260656249643,23.825493864933996,23.401050977251163,22.470119396830768,23.67593431927916,23.22167163400242,23.82149967150104,23.99641702546309,22.503745443078675,23.62426368118033,23.992981974204763,24.093383792739484,24.02682641148763,23.93334388500168,23.280070264617432,23.94029755444508,23.331860700661657,23.936510433152552,24.09235978990233,23.75757811254158,23.05980603676816,23.727501820507857,23.558066230357944,23.880384403472522
P00350,28.02038330887353,28.050903999172565,28.2265246874515,28.264307831123332,28.221393819405193,28.141065804887678,28.051837560842532,28.07492627634224,27.928764995476634,28.094800600776527,28.098680585444843,27.414666858619455,28.21984407171888,28.091500442535917,28.22548158543514,28.294134896068854,28.455365732144827,28.218523628395722,28.451664685550686,28.356444485349456,28.28069938726957,28.318491579780883,28.33264007187276,28.333373939964268
P00363,25.4128610840954,25.494662649724617,25.490270936520997,25.343987715956818,25.39797711527677,25.344939278009264,24.74440052688927,25.205151631551633,25.51734539181354,25.20409575485823,25.02025298325386,24.325128990902456,25.099853617237024,25.35676939716854,25.3470298318423,25.07759650793376,25.155732395262035,25.255583491347494,24.952221930645013,25.165245799361298,25.092517025598852,25.36355586714913,25.19076198847996,25.07108312741429
P00370,27.437745223752355,27.361987675167423,28.044742925755557,27.89373003568623,27.34289312621203,27.295965915400778,27.179704888272266,27.258294663829915,27.344858004923687,27.0529052347208,27.084988875314984,26.157603078221392,27.184356989831826,27.069809656534677,28.076272697285237,27.944863329436494,27.941553907195537,27.30954255845973,27.80203193751493,27.90708412616987,28.076716129048258,28.305042788139648,27.389589600268618,27.974404398002417
P00393,25.337520131457268,25.386333431778137,25.267059006956675,25.370124282875494,25.11412584619292,25.352232896916444,25.43843708260121,24.997334775268893,24.4101457465308,25.170645810835186,25.30517505812228,24.31077369861179,25.410892950523095,25.105587455215872,25.235546569735412,25.382726951750154,25.15036139794209,24.861388013603513,25.302308313194295,25.142931306019925,25.406160393164534,25.4722406716598,25.037979749897584,25.361556071704907
P00448,28.708777852356366,28.623936485049843,28.064397291016117,27.97851793477911,28.61504397472994,28.342782941794635,29.3272633544471,29.101137865021556,28.654888212428514,29.01481651768643,28.784241641979,29.422180817202957,29.101974391485374,29.209748515766744,28.193513032920123,27.983794250524642,28.32890521912575,28.17717356816803,28.37498874323233,28.53913191868848,28.2528608411285,28.057080201726542,28.47382662296098,28.354562590233552
P00452,26.333129087120902,26.39331649252292,26.039292024398392,26.17974095946763,26.12982895363946,26.368638155179532,26.491415215561144,25.9830668578355,25.47738873960433,26.159892830841603,26.31885529567431,25.299505732767813,26.434055135232374,26.074414934555573,26.09710473572494,26.17341067826017,26.212951561677105,25.626936104626456,26.326929630978945,26.04618964699544,26.245915271521266,26.214731042086004,26.001360966009337,26.20969648212987
