rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
A5A614	18.11627685118944	17.809913282263757	17.691056794622416	16.993522033213146	18.25232609273733	18.321734538779815	17.95026232518605	17.38421760187562	18.05009225351418	17.81642761029899	18.452213947868962	19.243941442146653	18.035315655321256	17.380368265664877	17.48963641745085	17.893181333244346	17.411790586519754	17.511941168468862	17.62260970541322	17.281521232210697	17.663839779025565	17.605971532231134	17.189381057158382	16.915782107274364
O32583	18.914046728956208	19.18727993764056	18.762837049957728	17.831905469537332	19.037720391985726	18.583457706708984	19.183285744207605	19.358203098169653	17.86553151578524	18.986049753886896	19.354768046911328	19.45516986544605	19.388612484194194	19.295129957708244	18.641856337323997	19.302083627151646	18.693646773368222	19.298296505859117	19.454145862608893	19.119364185248145	18.421592109474723	19.089287893214422	18.91985230306451	19.242170476179087
P00350	25.18809056631079	25.218611256609826	25.394231944888762	25.432015088560593	25.389101076842454	25.30877306232494	25.219544818279793	25.2426335337795	25.096472252913895	25.262507858213787	25.266387842882104	24.582374116056716	25.387551329156143	25.259207699973178	25.3931888428724	25.461842153506115	25.623072989582088	25.386230885832983	25.619371942987947	25.524151742786717	25.448406644706832	25.486198837218144	25.50034732931002	25.50108119740153
P00363	23.466308251064895	23.54810981669411	23.54371810349049	23.397434882926312	23.451424282246265	23.398386444978758	22.797847693858763	23.258598798521128	23.570792558783033	23.257542921827724	23.073700150223356	22.37857615787195	23.153300784206518	23.410216564138036	23.400476998811794	23.131043674903253	23.20917956223153	23.30903065831699	23.005669097614508	23.218692966330792	23.145964192568346	23.417003034118625	23.244209155449454	23.124530294383785
P00370	24.561560319304462	24.48580277071953	25.168558021307664	25.017545131238336	24.466708221764137	24.419781010952885	24.303519983824373	24.382109759382022	24.468673100475794	24.176720330272907	24.20880397086709	23.2814181737735	24.308172085383934	24.193624752086784	25.200087792837344	25.0686784249886	25.065369002747644	24.433357654011836	24.925847033067036	25.030899221721977	25.200531224600365	25.428857883691755	24.513404695820725	25.098219493554524
P00393	22.696790689292964	22.745603989613834	22.62632956479237	22.72939484071119	22.473396404028616	22.71150345475214	22.797707640436908	22.35660533310459	21.769416304366498	22.529916368670882	22.664445615957977	21.670044256447486	22.77016350835879	22.46485801305157	22.59481712757111	22.74199750958585	22.509631955777785	22.22065857143921	22.66157887102999	22.50220186385562	22.76543095100023	22.831511229495497	22.39725030773328	22.720826629540603
P00448	25.06289513145657	24.978053764150047	24.418514570116322	24.332635213879314	24.969161253830144	24.69690022089484	25.681380633547306	25.45525514412176	25.00900549152872	25.368933796786635	25.138358921079206	25.77629809630316	25.45609167058558	25.56386579486695	24.547630312020328	24.337911529624847	24.683022498225956	24.531290847268235	24.729106022332534	24.893249197788684	24.606978120228703	24.411197480826747	24.827943902061186	24.708679869333757
P00452	22.860058070395322	22.92024547579734	22.566221007672812	22.70666994274205	22.65675793691388	22.895567138453952	23.018344198835564	22.50999584110992	22.00431772287875	22.686821814116023	22.84578427894873	21.826434716042233	22.960984118506794	22.601343917829993	22.62403371899936	22.70033966153459	22.739880544951525	22.153865087900876	22.853858614253365	22.57311863026986	22.772844254795686	22.741660025360424	22.528289949283756	22.73662546540429
P00490	22.192916380228155	22.32159301851911	22.92144356733624	23.046141954352464	22.0669136347868	22.136124307284177	22.52968116320985	22.174198145988512	21.639095469220884	22.209104878929843	22.106720180067704	21.311008771900227	22.31320778085086	22.175285072651747	22.97040845199544	22.82453306513444	22.91756954884722	22.623257160692944	22.790726883268604	23.02402966488272	22.95158588825133	22.965157454013628	22.911468389152056	23.01378020055666
P00509	25.167302332883104	25.11979583412215	24.64317896473728	24.775864947864065	24.869117429187522	25.27901358275985	25.210801212298623	24.915690930140155	24.55487089741082	24.95747568398377	25.19869210439096	24.620389809181265	25.238702374215652	24.968223827763705	24.690381485909874	24.892207626054628	24.91970142195467	24.686388703214387	25.02567354355777	24.778280530257437	25.023898098004153	24.864155550086924	24.746191482906674	24.956412295987644
P00547	24.303145695504252	24.25418682184643	24.101445492090015	24.057083718868512	24.27746727494975	24.07034853822107	24.542541982892388	24.43431236617601	24.445872890071467	24.26029795675326	24.35611639224234	24.506610717992114	24.36528176925311	24.44770393475662	24.16552061767981	24.136184486573303	24.074485894168184	23.993243461377627	24.055002439826477	24.098593544712585	24.085069102913803	24.1205684958923	23.954376949290193	24.05512365479375
P00550	21.487160524145942	21.43381780931406	21.07238620196584	21.214455170229474	21.340337578478582	21.392995300617603	21.61598419268434	21.45796232674869	21.36982759701855	21.509867788546547	21.22788072407934	20.40492347906606	21.42960491321361	21.41903179892043	21.107630742473983	21.15468304541019	21.12876859875037	21.143698938823743	21.181141698492894	21.237829426496248	21.157764272643565	21.038174104679058	21.245383841616906	21.158864025860332
P00561	25.888334702737005	26.03519468823363	25.547028331368693	25.732727034810814	25.60649308069474	25.664162606407622	26.09864792398978	25.73754180344747	25.28436346175772	25.535581482510977	26.032865167127007	25.018808494957618	25.930966725892347	25.736245128337544	25.52974620397019	25.63038434675417	25.638105562371706	25.03217653745358	25.653092628021774	25.56694339718394	25.81312898535907	25.72404430072342	25.29708304541508	25.705280692004948
P00562	21.863897983540618	21.83698315147088	22.339595230393446	22.21717218076422	22.03344759968512	21.98023410738794	21.531369116181533	21.506716140533793	21.83441151405956	21.717164203884344	21.661906050486223	20.814544200012786	21.785296594122272	21.57563407724314	22.401414491342877	22.3487861893042	22.28866318096661	21.970861059293266	22.34274158805555	22.16734240424188	22.326353245714127	22.45701130924325	22.113158102195552	22.329994673680822
P00579	22.65058452360736	22.658994386573845	22.74495259625652	22.787438182768106	22.68658346417118	22.71064370984922	22.77098064310668	22.60712187442942	22.453262374366464	22.63952997705469	22.654655550862454	21.711958211630527	22.65755878233074	22.56742632174888	22.743026359581144	22.86906728654269	22.7964795599997	22.639375843720483	22.829406200891185	22.680206210389525	22.83204473984175	22.812583278775595	22.56611185762339	22.90200615054789
