rowname,Ref8537_QC1_20230414_1,Ref8537_QC2_20230414_1,Ref8537_QC3_20230414_1,Ref8537_QC4_20230414_1,Ref8537_S4_20230414,Ref8537_S8_20230414,Ref8537_S11_20230414,Ref8537_S18_20230414,Ref8537_S21_20230414,Ref8537_S26_20230414,Ref8537_S35_20230414,Ref8537_S37_20230414,Ref8537_S45_20230414,Ref8537_S49_20230414,Ref8537_S52_20230414,Ref8537_S60_20230414,Ref8537_S65_20230414,Ref8537_S69_20230414,Ref8537_S75_20230414,Ref8537_S79_20230414,Ref8537_S82_20230414,Ref8537_S88_20230414,Ref8537_S94_20230414,Ref8537_S100_20230414
A5A614,18.116276851189436,17.809913282263754,17.691056794622412,16.993522033213143,18.252326092737327,18.32173453877981,17.950262325186046,17.384217601875616,18.050092253514176,17.816427610298987,18.45221394786896,19.24394144214665,18.035315655321252,17.380368265664874,17.489636417450846,17.893181333244343,17.41179058651975,17.51194116846886,17.622609705413215,17.281521232210693,17.66383977902556,17.60597153223113,17.18938105715838,16.91578210727436
O32583,18.914046728956208,19.18727993764056,18.76283704995773,17.831905469537332,19.03772039198573,18.583457706708984,19.18328574420761,19.358203098169653,17.865531515785243,18.986049753886896,19.35476804691133,19.455169865446052,19.388612484194198,19.295129957708248,18.641856337324,19.302083627151646,18.693646773368222,19.29829650585912,19.454145862608897,19.119364185248145,18.421592109474723,19.089287893214426,18.91985230306451,19.24217047617909
P00350,25.188090566310795,25.21861125660983,25.394231944888766,25.432015088560597,25.389101076842458,25.308773062324942,25.219544818279797,25.242633533779504,25.096472252913898,25.26250785821379,25.266387842882107,24.58237411605672,25.387551329156146,25.25920769997318,25.393188842872405,25.46184215350612,25.62307298958209,25.386230885832987,25.61937194298795,25.52415174278672,25.448406644706836,25.486198837218147,25.500347329310024,25.501081197401533
P00363,23.46630825106489,23.548109816694108,23.543718103490487,23.39743488292631,23.45142428224626,23.398386444978755,22.79784769385876,23.258598798521124,23.57079255878303,23.25754292182772,23.073700150223353,22.378576157871947,23.153300784206515,23.410216564138032,23.40047699881179,23.13104367490325,23.209179562231526,23.309030658316985,23.005669097614504,23.21869296633079,23.145964192568343,23.417003034118622,23.24420915544945,23.12453029438378
P00370,24.56156031930447,24.485802770719538,25.168558021307675,25.017545131238343,24.466708221764144,24.419781010952896,24.30351998382438,24.382109759382033,24.468673100475804,24.176720330272914,24.208803970867102,23.28141817377351,24.308172085383944,24.19362475208679,25.20008779283735,25.06867842498861,25.06536900274765,24.433357654011843,24.925847033067043,25.030899221721988,25.200531224600375,25.428857883691762,24.513404695820732,25.09821949355453
P00393,22.69679068929296,22.74560398961383,22.626329564792368,22.729394840711187,22.473396404028612,22.711503454752137,22.797707640436904,22.356605333104586,21.769416304366494,22.52991636867088,22.664445615957973,21.670044256447483,22.770163508358788,22.464858013051565,22.594817127571105,22.741997509585847,22.50963195577778,22.220658571439206,22.661578871029988,22.502201863855618,22.765430951000226,22.831511229495494,22.397250307733277,22.7208266295406
P00448,25.06289513145657,24.978053764150047,24.418514570116322,24.332635213879314,24.969161253830144,24.69690022089484,25.681380633547306,25.455255144121757,25.00900549152872,25.368933796786635,25.138358921079202,25.776298096303158,25.45609167058558,25.56386579486695,24.547630312020324,24.337911529624847,24.683022498225952,24.53129084726823,24.72910602233253,24.893249197788684,24.606978120228703,24.411197480826743,24.827943902061186,24.708679869333757
P00452,22.86005807039533,22.920245475797348,22.56622100767282,22.706669942742057,22.656757936913888,22.89556713845396,23.01834419883557,22.509995841109927,22.004317722878756,22.68682181411603,22.845784278948738,21.82643471604224,22.9609841185068,22.60134391783,22.624033718999367,22.700339661534596,22.739880544951532,22.153865087900883,22.853858614253372,22.573118630269867,22.772844254795693,22.74166002536043,22.528289949283764,22.7366254654043
P00490,22.192916380228162,22.321593018519117,22.921443567336247,23.04614195435247,22.066913634786808,22.13612430728418,22.529681163209855,22.17419814598852,21.639095469220887,22.20910487892985,22.106720180067708,21.311008771900234,22.313207780850867,22.17528507265175,22.970408451995446,22.824533065134442,22.917569548847222,22.623257160692948,22.79072688326861,23.024029664882725,22.951585888251337,22.96515745401363,22.91146838915206,23.013780200556663
P00509,25.16730233288309,25.119795834122137,24.643178964737267,24.77586494786405,24.86911742918751,25.279013582759838,25.210801212298612,24.915690930140144,24.554870897410808,24.95747568398376,25.19869210439095,24.620389809181255,25.23870237421564,24.968223827763694,24.690381485909867,24.892207626054613,24.919701421954656,24.686388703214377,25.025673543557758,24.778280530257426,25.02389809800414,24.864155550086913,24.74619148290666,24.956412295987633
P00547,24.30314569550425,24.254186821846428,24.10144549209001,24.05708371886851,24.277467274949746,24.070348538221065,24.542541982892384,24.434312366176005,24.445872890071463,24.260297956753256,24.356116392242335,24.50661071799211,24.365281769253105,24.447703934756618,24.165520617679807,24.1361844865733,24.07448589416818,23.993243461377624,24.055002439826474,24.098593544712582,24.0850691029138,24.120568495892297,23.95437694929019,24.055123654793746
P00550,21.48716052414595,21.433817809314064,21.07238620196585,21.214455170229478,21.34033757847859,21.392995300617606,21.615984192684344,21.457962326748692,21.369827597018556,21.50986778854655,21.22788072407935,20.404923479066063,21.429604913213616,21.419031798920436,21.107630742473987,21.154683045410195,21.128768598750376,21.143698938823746,21.1811416984929,21.237829426496255,21.15776427264357,21.038174104679065,21.245383841616913,21.15886402586034
P00561,25.888334702737005,26.03519468823363,25.547028331368693,25.732727034810818,25.60649308069474,25.664162606407622,26.098647923989784,25.737541803447474,25.28436346175772,25.535581482510977,26.03286516712701,25.01880849495762,25.930966725892347,25.736245128337547,25.52974620397019,25.63038434675417,25.63810556237171,25.03217653745358,25.653092628021778,25.56694339718394,25.81312898535907,25.72404430072342,25.29708304541508,25.705280692004948
