rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
A5A614	18.092647489256116	17.789167726568998	18.327710435464002	18.08324920101585	18.12428981620607	18.311641028400462	17.952452726732265	18.25814966954287	18.06259513541921	18.085389804367498	17.33352588080163	17.554852057596083	17.43223964730457	17.19328724733249	17.62572478195755	17.42034438429903	17.23088724984511	17.081780470779307	17.476576872299066	17.42467342694876	17.919800153451565	18.03481720570832	17.552865113379568	17.277003557768783
O32583	18.379812316824477	19.44722072693017	19.296710511872995	19.670927229468305	19.106035786630187	18.640489697147295	19.411414113458854	19.231288921385	19.291744082989617	18.210200883726415	18.732227337476246	18.593688604117943	19.230147897371836	18.90541062424355	18.773685256964193	18.440168432659355	18.68785360339851	18.64989249881077	18.851354122689017	18.410231851181067	19.09992340492267	19.29460916990883	18.284534315007797	18.598313110155942
P00350	25.297877692781153	25.231069734740316	25.241471193651737	25.199302385818346	25.249676089822874	25.288979053721512	25.23250317911614	25.130696554843013	25.163468459939217	25.24304059001124	25.414589976151646	25.437252606039568	25.40703224953032	25.466401682811302	25.43251028093769	25.383380833992355	25.45555761598128	25.44221846776946	25.475157124973194	25.431631661381864	25.371959655056987	25.29958728819601	25.491999509589647	25.4869418635026
P00363	23.62051572250956	23.167920025980486	23.48357914050915	23.223363480553473	23.160345994306205	23.662582762178886	23.038607107815842	22.941747296182918	23.079054894676766	23.67607638682378	22.99949300355115	23.050133031850535	23.065859925084958	23.125285057171695	23.14730300996989	23.10898517340779	23.089361655154782	23.06604769904287	23.32232527382999	23.395857865691866	23.391042965789097	23.318528925287097	23.502539542581047	23.254945090349068
P00370	24.577751077412156	24.16357491176137	24.382082813476416	24.34592865824402	24.38503252457816	24.578659031464532	24.190328503865228	24.32239573486121	24.25042776908626	24.62608784030473	24.69625258630184	24.736109546608496	24.86886552219538	24.729285322486938	24.87155543209759	24.84692066599851	24.95202101617893	24.822248179695933	25.13759719101807	25.05595578134451	24.43315401421667	24.30374099811326	25.065198975111915	24.845134019779568
P00393	22.430437148733894	22.633771039471547	22.437062129233496	22.6751225716297	22.55103404558477	22.431685512980188	22.59358650316687	22.61039534386616	22.539672520960195	22.382513036003054	22.5760877651922	22.525120727964847	22.50471220956655	22.514975879543947	22.58850874808708	22.46468754181491	22.606537094044164	22.57411910118043	22.590059413794037	22.673044234161566	22.575137325362192	22.599735487202864	22.5933324871637	22.543782129729657
P00448	25.113981726383916	25.46908104088804	25.4951305101882	25.30933947884836	25.38258116461886	24.836706732108578	25.583709264015287	25.67222547782541	25.66053449068445	24.894321603968304	24.645001639737345	24.684682954270947	24.87486330530835	24.30365281005925	24.488667323470963	24.312812180826626	24.466731652931923	24.727553746823762	24.567884903502986	24.199011492337995	25.310501887555898	25.268310377860566	24.602216312702602	24.661191316140005
P00452	22.619141774337585	22.8747843150693	22.620440404927106	22.77651181000447	22.811223947519803	22.62974087318295	22.856873856451934	22.82400354419051	22.738956366119236	22.66844451180412	22.623957546732708	22.558842602973044	22.367401489333307	22.645614918888178	22.58436757444658	22.520349246073387	22.581663687163978	22.57162165596229	22.58249517739838	22.581822103207717	22.846670430407062	22.77213372042734	22.57065084720104	22.550664633275023
P00490	21.93227390496663	22.319627061229156	22.0485113629005	22.237332443302527	22.289906222330252	21.908577590987672	22.26517928511048	22.27270332030943	22.242694000614165	21.964128422572397	22.894331727318043	22.828912321456436	22.641560868901717	22.859857040442463	22.890947371655038	22.942646528061733	22.98170203302745	22.98799981392175	22.985540990449298	22.981273407546006	22.279260890953893	22.248126402809156	22.944833136907285	22.95174445446443
P00509	24.86445868246174	25.11393259374265	24.985014495523114	25.085104798728302	25.06713977869044	24.910040329835198	25.052037664476607	24.90620863171683	24.91095865896337	24.849190320036325	24.85379998688245	24.8531397556327	24.85764279737679	24.899378371364172	24.850968294565035	24.862845392456688	24.90269610077696	24.876123855823845	24.835392443151555	24.809422218294696	25.140732839610816	25.136095474546927	24.793382417804448	24.83936134526986
