rowname,BBM_673_P283_01_VEB_001_R4,BBM_673_P283_01_VEB_002_R3,BBM_673_P283_01_VEB_003_R3,BBM_673_P283_01_VEB_004_R3,BBM_673_P283_01_VEB_005_R3,BBM_673_P283_01_VEB_006_R2,BBM_673_P283_01_VEB_007_R2,BBM_673_P283_01_VEB_009_R2,BBM_673_P283_01_VEB_010_R2,BBM_673_P283_01_VEB_011_R2,BBM_673_P283_01_VEB_012_R2,BBM_673_P283_01_VEB_013_R2,BBM_673_P283_01_VEB_014_R2,BBM_673_P283_01_VEB_015_R2,BBM_673_P283_01_VEB_016_R2,BBM_673_P283_01_VEB_017_R2,BBM_673_P283_01_VEB_018_R2,BBM_673_P283_01_VEB_019_R2,BBM_673_P283_01_VEB_020_R2,BBM_673_P283_01_VEB_021_R2,BBM_673_P283_01_VEB_022_R3,BBM_673_P283_01_VEB_023_R3,BBM_673_P283_01_VEB_024_R3
A5A614,19.04454095736761,18.69327068144034,18.152593812138043,18.898351308133137,18.35355765552773,18.625378715186095,18.491614220628684,17.614572633650376,18.673781288704838,18.44412734528838,18.364360397867664,16.919487017236648,16.62172787786745,17.21130839948679,16.990817853462637,17.176245895607693,16.848578407448194,17.06341808433494,17.137436812060876,17.301986880122406,15.811399328499546,17.075961916542894,17.30708053567826
O32583,19.352697280836324,19.190870712907824,19.480379931437177,20.058500639531765,18.505351756812473,19.578709663857026,19.971075884884662,18.346094425671104,19.8178772689078,19.342181714822175,19.594434157478645,18.76966679210412,18.50051149724861,18.90021954280506,17.710448564623277,18.063552906980377,18.01571819576337,18.35596336244285,18.216238554411817,18.685887838104364,18.21450008581556,18.12531433851568,18.26393767606926
P00350,25.215870505674687,25.20406730656986,25.285710844188205,25.147216545511785,25.2727663956399,25.209286845309183,25.068504346234455,25.311833738472714,25.19205060949327,25.239393413094156,25.25703154282687,25.39377384320927,25.51573134172641,25.502896032993778,25.450624178666825,25.50120037020207,25.412565327159303,25.515777740331643,25.465315376464375,25.40438856401487,25.411438529328368,25.52209256779878,25.53812528077953
P00363,23.38933564203379,23.40429786920964,23.43070190995366,22.570090791998418,24.076659464826708,23.323393060968193,22.703460152849836,23.74825287708574,23.044466547050366,23.244183753124545,23.236244371656518,22.88051145998775,22.982496595641084,23.275962522561503,23.174472755296925,23.20811024886248,23.148760786462166,23.264109820236097,23.2570865721735,23.267541458913705,23.073722187783886,23.58841512647352,23.300392872088537
P00370,24.46193205457299,24.339642279339706,24.245185565177366,24.44706301522477,24.971621038077323,24.38314869167734,24.212083076951707,24.65205272772321,24.118274989905423,24.34410051256164,24.32586278404915,24.56923574498599,24.671018533487747,24.861390892047524,25.00283882252667,24.925757305129494,24.91832406223842,25.016909481542726,24.975365713903237,24.74789395797235,24.63153643486926,25.080781773834538,24.917694086166804
P00393,22.397154899188074,22.418079381475117,22.721449151412468,22.6217649073569,22.44869484009084,22.412526748933892,22.549376035736696,22.57131289594827,22.51177649477303,22.596543630737763,22.644891729921497,22.26181782737407,22.532402238379696,22.50948588750076,22.786655515000486,22.69438786127165,22.57976961699646,22.58856378946584,22.72271527919905,22.422371562415435,22.515674650600623,22.58000778896857,22.628259142433354
P00448,25.214075728229826,25.211515913810384,25.292339619142506,25.796291579796826,24.66509382914597,25.56817576389213,25.664579228333555,24.695309471817172,25.67201293896668,25.445098462748415,25.470927588054643,24.454409336342163,24.398123477685754,24.652357336115074,24.625270089145907,24.78448218914721,24.30626858827797,24.6680091695837,24.634252270059225,24.431636297973757,24.214103141652558,24.790245048578615,24.5876191786435
P00452,22.587583691487488,22.7002401960152,22.778778175492693,22.86800735934722,22.46699632662017,22.5748780870066,22.946909798885052,22.93125140899161,22.725389303938336,22.814207685372125,22.87625510653734,22.254544349354553,22.487540021728652,22.572602874182447,22.745116143218837,22.817125953272047,22.9754987766509,22.613166455512737,22.634660615626828,22.296194806899283,22.2780977716357,22.537997759387967,22.599596318319772
P00490,21.852052559299104,21.88363011606925,22.154674417680837,22.215227561420228,22.068891124335238,21.986930021943145,22.242313329822046,22.200427160295867,22.121631850389583,22.1054699163168,22.19143902775636,22.74708019220349,22.935102289205325,22.934661232965567,23.046758193737723,22.986860799631224,23.167922530094117,23.060905693486802,23.01188575972627,22.88151290942077,23.060602539083803,22.91979809981661,23.006378567544964
P00509,24.841781949640698,24.89992716494508,25.11954690289322,24.983142002167927,25.094977908859914,24.98382805376921,24.986797179907835,24.93089557362037,24.912467081317427,25.06048899933545,25.14189990836839,24.659758544726753,24.7935942277677,25.00580824353583,24.89007205553793,24.884374542626652,24.840264284672834,24.96571019001519,24.896391023308457,24.733966971325884,24.72238860275138,24.925477853384223,24.978775076783283
P00547,24.306295901813563,24.302189949131378,24.343135822554526,24.302477128578477,24.471158685419663,24.42596348877398,24.398413355214096,24.530055154838493,24.278036092450982,24.220086274330704,24.25438068474209,24.3144729156083,24.18000533937161,24.090560606424344,23.976408037578917,24.046802246434094,24.03756411870428,24.02351787860104,24.012167804429314,24.087747728718764,24.195742677185414,24.106861685324336,24.152661146596657
P00550,21.175025937080342,21.342921493736362,21.44014846718642,21.505610053945503,21.566784082769917,21.417810748640846,21.36539886636039,21.53751965631304,21.468340279624847,21.430759095803282,21.52987671143184,20.67103884223584,21.105607723290873,21.178019415404584,21.261858823136844,21.241772656280816,21.142100384431718,21.21281610330722,21.1633611261177,21.001954726265417,21.013054064831966,20.90439107585818,21.14921906060749
P00561,25.76785436859546,25.82373509118957,25.761524799800146,26.09216200728629,25.72819856899372,25.783718950159066,25.996762331431388,25.887568308753433,25.756836834457975,25.767890561288457,25.80578837521987,25.020166020300813,25.495145746614437,25.51972664961338,25.613379983825276,25.56086258199276,25.562772614071996,25.598194006398096,25.552756002552353,25.275754406248907,25.371134467441742,25.49193940372677,25.62656278829832
P00562,21.735678159402966,21.83426362238157,21.73820403376717,21.487370150324253,22.371833783002373,21.56172051661509,21.39809243196993,22.098089016712514,21.507099777777626,21.656681963784038,21.651574297490093,22.00273781049546,22.332111718793186,22.157835650068428,22.409266220322337,22.383433728392475,22.421502999041536,22.21363378962147,22.245953881461105,22.04198943527595,22.25487195860549,22.262951939102066,22.157521160677696
P00579,22.58957724133324,22.692608094549424,22.672120989649386,22.732942112928203,22.65595254141225,22.515981864855664,22.600977624389834,22.57569255640396,22.527658948925087,22.61412675354953,22.59647844186535,22.657412574384864,22.708573200838643,22.7270997184094,22.79435970269461,22.65743744850734,22.751672988835857,22.725368479504322,22.795603363093036,22.59953699536713,22.64792087967427,22.75098155740325,22.868011486131515
P00579;P13445,18.609227620782868,19.06821217590628,19.483576286117614,18.818820235871474,19.484594970076078,19.29187960390055,18.80412723959213,19.624155259868765,18.901209180113998,19.037448600924083,18.941159704733906,19.508606908104603,19.627677859560617,19.735379670059537,19.70161451373278,19.64388990107816,19.73154189660111,19.924177588832116,19.88733945922602,19.63884597809663,19.519570929363308,19.414079480665002,19.530382558036603
P00582,21.885811273888184,22.0667069441735,22.126588252847213,21.989977469998852,22.1337107902911,21.975658261059795,22.00884308917509,22.241050596742802,22.0434555387035,22.071549996783258,22.176722053213552,21.844874337661782,22.141551759598755,22.037049003841993,22.09793036132728,22.112936412250782,22.192167138787177,22.073034248081,21.999954075949532,21.883305493677867,21.930894163512715,22.046245892493616,22.014063696743474
P00634,20.427042227499257,20.138219598060555,20.22859222223436,20.420900329209296,20.196382086810903,20.403310082892617,20.591465831563887,20.093890539886736,20.586922653403622,20.279527609874197,20.352963448229243,19.90516238916421,19.655844474774323,19.674466078398076,19.408730698490675,19.414903979921284,19.436628451627026,19.52527339952924,19.624934946696357,19.68407377796476,19.582323070895413,19.518460373232376,19.391373216108835
P00803,21.553836016194445,21.64734872343671,21.816887876868062,21.62808062975372,21.821830410025832,21.62558880371765,21.54849062067312,21.64910551949703,21.67347864927333,21.6581501813187,21.68610786853734,21.806541114326784,21.811645827743924,21.76230007255769,21.77079449125416,21.73020691933053,21.746352928565358,21.69675065714848,21.795577834346297,21.824778167739538,21.843016387244138,21.739977630375915,21.835187142391863
P00805,24.182252383240424,23.90878913032791,23.61917571341901,23.278140025399463,24.28512374476358,23.713590518023885,22.800174871571087,23.58438324637215,23.474037784182094,23.545267790938038,23.392629745840548,21.947492816779476,21.272318339170447,21.551025225885272,21.254314690200886,21.32587353736323,21.047236604680048,21.584931432978195,21.524477578575127,22.009125581746954,21.622871513980925,21.89516618744598,21.593505510385747
P00811,19.55071566137793,19.714890527884588,19.714475378428787,19.339110360387487,19.823011141774547,19.622291404267987,19.590361908090724,19.907749088156763,19.67647945107385,19.626506302901582,19.577289607688375,19.861104804165812,19.97198926381382,19.983086759771954,19.781124206678548,19.593055403188995,19.90026795265023,19.83448248608712,19.853611359553486,19.982270198667003,19.606853002507403,19.759944389737136,19.79789897380172
P00861,20.180143385701808,20.18022792781164,20.305271145151597,20.216690165224612,20.318919819789034,20.23604613702909,20.38888743070019,20.167175317961,20.24573262913803,20.41211652322977,20.372650966457712,20.55573246605399,20.744496488687343,21.064861629170903,20.972334571045913,21.011357331396233,20.84936459597463,20.975791880486355,21.01955475089888,20.7652211442724,20.380148182510514,20.83842964243616,21.041052975347732
P00864,24.319435218498047,24.35520768056951,24.43657174139171,24.223246333460867,24.58113312251797,24.349772683960513,24.25897206876362,24.762550871173477,24.32449805408792,24.405659573056834,24.39666032467441,25.432822891916015,25.6223921821808,25.681315216845523,25.755519615606758,25.724154848700305,25.886671384381128,25.80889142682292,25.797445085252942,25.590937691214204,25.617128062209026,25.80318252342085,25.77134343215246
P00887,21.666943984730864,21.62637009321256,21.91783228586006,21.429801834010025,22.167921977798933,21.743559644066536,21.413076095723973,22.097923868849026,21.622610037752864,21.813822450621537,21.85649037127941,21.92242534631638,21.902308712293813,22.044401614035113,21.876054493533832,21.785569757811214,21.897382915393163,22.01842512170621,21.963105028844108,21.98052500130901,21.774597866890677,22.075001532344693,22.003391814266532
P00888,23.047579394418257,23.02807597499176,23.50497414262966,23.45710245969145,23.36741152798654,23.392174461693912,23.359186145984122,23.185717831668093,23.334941803709892,23.437754419574873,23.538437600710626,22.695631533228937,22.531433303660815,22.595541563998285,22.694174518933657,22.69144270167688,22.597621262050264,22.534702309456787,22.483513714457423,22.74859440446538,22.43979421428278,22.80383080570124,22.57904078352475
P00893,21.856243898617997,21.90489248969038,22.181593191739122,21.923808463734755,22.09594413018841,21.982835322060275,21.923959976909018,22.2729029024592,21.967167223449042,22.0830247243436,22.108531826909527,22.450693407775162,22.719278630180302,22.782550795641107,22.681851641336493,22.631428211484135,22.715097861230173,22.757231651270754,22.802254293639074,22.68601519974283,22.741678640430415,22.67279494374337,22.717016018104474
P00894,22.16978032616271,21.93121116078459,22.1195394935826,22.03082604414087,22.02662572421144,22.08011994195913,21.845425950344058,21.90597745510755,22.100076151658126,22.130620451265482,22.0662169023074,22.59732535233236,22.379054472097252,22.57575573792027,22.3179129709708,22.381503912572317,22.19428490801505,22.48790334603521,22.526959547937192,22.55177946180117,22.357704742877182,22.450393618513427,22.592160636467945
P00895,22.072160441812585,22.241566293549397,22.460635215831253,22.496959548732434,22.442545916120878,22.353396278026025,22.517791731140306,22.368151173456198,22.28191457958377,22.441072268849744,22.56662377550596,22.429909289264465,22.639811666904336,22.811806539405836,22.807211979488955,22.651385911118396,22.711351636789516,22.675484606307556,22.735092200936926,22.632339348728756,22.555978824713726,22.822084628145582,22.77624051536275
P00903,17.955582921050155,17.92757935190183,18.289177102586663,18.039291381702675,18.09386590081597,18.093876533134445,17.65507654434764,18.149154931561533,17.891554227129966,17.840303744931223,17.99887908956979,18.464079029734478,18.201801374270996,18.136637480256578,18.302386334682733,18.216700645962987,18.37371780764848,18.434426298420274,18.186487396853735,18.16890111802979,18.251584140708733,18.06640869851664,18.464342235065814
P00904,22.324355314999444,22.406226660338685,22.677722847297296,22.72637227741293,22.53440970535084,22.505739920466784,22.69470845427955,22.505373886949915,22.63618291641773,22.61067568778216,22.68565230556366,22.284938389537942,22.509125681992796,22.85502505500491,22.92526681840195,22.795472275411484,22.843046086675464,22.834932818966923,22.71198744582544,22.67021614503598,22.343623270490546,22.80570805143921,22.65954045014239
P00909,22.3957030773095,22.46135327037591,22.633477672546242,22.71226737048869,22.553776525356355,22.61526784695154,22.82199344999154,22.492778443619954,22.544928972723213,22.711439841590376,22.749546681555564,22.768229176959842,22.760087531927176,22.96919666035192,22.933790759912796,22.898412833799398,22.84139320797997,22.831812777760014,22.89478529036728,22.826479086302328,22.588262284990293,22.92486915565558,22.86421748001314
P00914,18.107038166717047,18.43940031811116,18.531126486213548,18.858881788210347,17.906693964910865,18.32810986812848,19.05314346164214,18.291345127481726,18.500767198680713,18.37276842382525,18.312190958398933,18.377414587409834,18.779597170641264,18.827486305303566,18.87578149939725,18.61080324611388,18.722579919851707,18.748816130590054,18.7497256124348,18.564421345485417,18.497403444231868,18.472612149555797,18.650016590125386
P00926,18.72558943812525,18.736457993071564,18.624994677838256,18.624319114793295,18.716689619316323,18.62617256285977,18.630201694931273,18.673642187833178,18.711596649370016,18.61489732875915,18.877840321654034,19.13265023508937,19.248943524635866,19.54312428426129,19.269754822183064,19.340676224862577,19.463795030341473,19.48324358017185,19.317646255957932,19.338224047924836,19.085076341530073,19.36487679562345,19.24053608898676
P00934,25.589608801812084,25.657136900689643,25.67745003483902,25.79940504376293,25.696295497218486,25.74642838514044,25.781062768515064,25.750907496736403,25.62046528135486,25.621014298744292,25.67704566372582,25.235965285685985,25.17451639976658,25.363256150056976,25.386581335803278,25.381888476900812,25.32881901063793,25.36670105216077,25.334171927280053,25.303438820498883,25.295898701102693,25.392723623341283,25.41168392415245
P00935,22.415038810148513,22.343590505049352,22.516837325150867,22.352527581916892,23.49970395630627,22.414094908291858,22.17270855632423,22.87660084833055,22.18986044486098,22.32994468432775,22.468612628509934,22.732726284861787,22.80308781847644,22.7297579381015,22.756697910034745,22.69026206448359,22.61901520854507,22.68458173921865,22.696947203379427,22.592594986971392,22.996655509038565,22.786802479948182,22.55801122010633
