rowname,Clinspect_E_coli_A_QC1_Slot1-6_1_8640,Clinspect_E_coli_A_QC2_Slot1-15_1_8649,Clinspect_E_coli_A_S5_Slot1-7_1_8641,Clinspect_E_coli_A_S7_Slot1-24_1_8673,Clinspect_E_coli_A_S20_Slot1-20_1_8669,Clinspect_E_coli_A_S23_Slot1-8_1_8642,Clinspect_E_coli_A_S34_Slot1-18_1_8666,Clinspect_E_coli_A_S42_Slot1-21_1_8670,Clinspect_E_coli_A_S47_Slot1-14_1_8648,Clinspect_E_coli_B_QC3_Slot1-23_1_8672,Clinspect_E_coli_B_S53_Slot1-22_1_8671,Clinspect_E_coli_B_S66_Slot1-13_1_8647,Clinspect_E_coli_B_S91_Slot1-25_1_8674
A5A614,19.518389617181942,18.560694995650277,18.445669581287568,16.099144636474367,18.570821860492078,17.738046699511784,17.23740129269457,18.348042302666137,19.77174321123511,,17.48709917902134,,16.4832093717659
O32583,19.432373840014037,18.88115441492929,18.707277078321905,19.0597928375441,19.07935343537941,20.08179126504472,19.45742485709993,19.3097783904063,18.510461409058692,18.90183076985305,19.016778620335952,19.752588385387632,17.353579584424732
P00350,25.284687972324896,25.220767853087114,25.265322017756926,25.230948219388086,25.418617720200135,25.25450398167244,25.395180542889555,25.343018505872486,25.211634192776256,25.177383113511482,25.628872375600736,25.094243263450885,25.379087873910596
P00363,23.320163958712804,23.210448466620605,23.207459980955306,23.576199195844723,23.668475255913417,23.32521126439864,22.90621720505908,23.28033088560717,23.507223866735238,23.396510538354818,23.148749148160444,22.938255840730058,23.02532516573787
P00370,24.461312491895068,24.389441348130607,24.429873503021447,24.28016135103606,24.643291909599498,24.4416402227705,24.37702897527584,24.275317845248573,24.551126480901768,24.79071029976489,25.092359049319427,24.58364480940124,24.664707402254987
P00393,22.279756466512108,22.772631852513815,22.45672522344355,22.6442520680777,22.303232784837718,22.688979436390888,22.52105062896068,22.37836637793466,22.24319864901554,22.598697159017977,22.412297164798346,22.665678437752074,22.812037663019957
P00448,25.083071507046725,24.845626556168604,25.169881849402742,24.644314974243635,25.3737784492695,25.354671951175245,25.037165499380443,25.393953186576642,25.45611910848587,24.812895171523284,24.99081437066736,24.747086945022023,24.860659808206552
P00452,22.728820632796534,22.816697089691132,22.852531855919693,22.677658908389894,22.716835465040965,22.566857848174017,22.650002206642434,22.817134782692264,22.58704657441654,22.600154838388328,22.578532387760866,22.315708471718324,22.67305357084372
P00490,21.97043325843269,22.173825675035914,22.140472557811776,22.14012684852249,21.893681955085512,22.295198837965742,22.214588264364505,21.954779811642755,21.918558602700806,23.030638097740372,22.84721913179162,22.810295282923477,23.12372512877529
P00509,24.9435210816532,25.180970084903137,24.945336565657023,25.079567816248527,25.166283194354126,24.91538307375929,25.253042713469615,25.16411648911412,24.82052034218897,24.54663299975925,24.898258876900602,24.646804445627275,24.799054900550683
P00547,23.885012466516987,24.457479918578777,24.051729476475,24.462082959481705,24.462626896833466,24.443906815701617,25.030674198684068,24.473817862862912,24.433489926598842,23.61306432787958,24.19851329090062,24.00534343570505,24.17511232867104
P00550,21.357211543395074,21.21437632276511,21.17145072241995,21.48587420137907,21.378661405641346,21.66437731373205,21.46928866757559,21.531367611450126,21.36688404044646,21.138731257109274,20.884686323492094,21.00565390500851,21.354066829520484
P00561,25.83717987046844,25.610132818328555,25.957234315263847,25.667253135429842,25.85211703542163,25.75582554059406,26.00571643567959,25.91204367003057,25.926462493320084,25.321950962877047,25.660478963928913,25.04608226683472,25.50395222771012
P00562,21.851063813507253,21.618167606383594,21.71167438725648,21.529570788353126,21.52548206634767,21.743119420555438,21.60838082438012,21.641596134144756,22.114749502998976,22.278118874205653,22.258204553969556,22.060939996922762,22.427012542310763
