rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_26_s9,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_28_s17,20230516_EXPL1_LiSc_SA_S610_RT_29_s24,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_31_s33,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_33_s44,20230516_EXPL1_LiSc_SA_S610_RT_34_s48,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD,20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD,20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD,20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
A5A614,18.092647489256112,17.789167726568994,18.327710435464,18.083249201015846,18.124289816206065,18.31164102840046,17.95245272673226,18.258149669542867,18.062595135419205,18.085389804367495,17.333525880801627,17.55485205759608,17.432239647304566,17.193287247332485,17.625724781957548,17.420344384299028,17.230887249845107,17.081780470779304,17.476576872299063,17.424673426948758,17.91980015345156,18.034817205708315,17.552865113379564,17.27700355776878
O32583,18.379812316824474,19.447220726930166,19.296710511872995,19.670927229468305,19.106035786630184,18.64048969714729,19.41141411345885,19.231288921384998,19.291744082989613,18.21020088372641,18.732227337476246,18.593688604117943,19.230147897371836,18.905410624243547,18.77368525696419,18.440168432659355,18.687853603398505,18.649892498810768,18.851354122689013,18.410231851181063,19.09992340492267,19.294609169908828,18.284534315007793,18.59831311015594
P00350,25.297877692781153,25.231069734740316,25.241471193651737,25.199302385818346,25.249676089822874,25.288979053721512,25.23250317911614,25.130696554843013,25.163468459939217,25.24304059001124,25.414589976151646,25.437252606039568,25.40703224953032,25.466401682811302,25.43251028093769,25.383380833992355,25.45555761598128,25.44221846776946,25.475157124973194,25.431631661381864,25.371959655056987,25.29958728819601,25.491999509589647,25.4869418635026
P00363,23.620515722509555,23.167920025980482,23.48357914050915,23.223363480553473,23.160345994306205,23.662582762178886,23.03860710781584,22.941747296182914,23.079054894676766,23.67607638682378,22.99949300355115,23.050133031850535,23.065859925084954,23.125285057171695,23.147303009969885,23.108985173407785,23.08936165515478,23.06604769904287,23.32232527382999,23.395857865691866,23.391042965789097,23.318528925287094,23.502539542581047,23.254945090349068
P00370,24.577751077412152,24.163574911761366,24.382082813476412,24.345928658244016,24.385032524578158,24.57865903146453,24.190328503865224,24.322395734861207,24.250427769086258,24.626087840304727,24.696252586301835,24.736109546608493,24.868865522195378,24.729285322486934,24.871555432097587,24.846920665998507,24.952021016178925,24.82224817969593,25.137597191018067,25.055955781344508,24.433154014216665,24.303740998113256,25.06519897511191,24.845134019779564
P00393,22.430437148733894,22.633771039471544,22.437062129233492,22.6751225716297,22.551034045584768,22.431685512980184,22.593586503166865,22.61039534386616,22.539672520960192,22.38251303600305,22.576087765192195,22.525120727964847,22.50471220956655,22.514975879543943,22.588508748087076,22.464687541814907,22.60653709404416,22.574119101180425,22.590059413794034,22.673044234161566,22.575137325362192,22.599735487202864,22.593332487163696,22.543782129729653
P00448,25.113981726383916,25.46908104088804,25.4951305101882,25.30933947884836,25.38258116461886,24.836706732108578,25.583709264015287,25.67222547782541,25.66053449068445,24.894321603968304,24.645001639737345,24.684682954270947,24.87486330530835,24.30365281005925,24.488667323470963,24.312812180826626,24.466731652931923,24.727553746823762,24.567884903502986,24.199011492337995,25.310501887555898,25.268310377860566,24.602216312702602,24.661191316140005
P00452,22.619141774337585,22.8747843150693,22.620440404927106,22.77651181000447,22.811223947519803,22.62974087318295,22.856873856451934,22.82400354419051,22.738956366119236,22.66844451180412,22.623957546732708,22.558842602973044,22.367401489333307,22.645614918888178,22.58436757444658,22.520349246073387,22.581663687163978,22.57162165596229,22.58249517739838,22.581822103207717,22.846670430407062,22.77213372042734,22.57065084720104,22.550664633275023
P00490,21.93227390496663,22.319627061229156,22.0485113629005,22.237332443302527,22.289906222330252,21.908577590987672,22.26517928511048,22.27270332030943,22.242694000614165,21.964128422572397,22.894331727318043,22.828912321456436,22.641560868901717,22.859857040442463,22.890947371655038,22.942646528061736,22.981702033027453,22.98799981392175,22.985540990449298,22.981273407546006,22.279260890953893,22.248126402809156,22.944833136907285,22.95174445446443
P00509,24.864458682461738,25.113932593742646,24.98501449552311,25.0851047987283,25.067139778690436,24.910040329835194,25.052037664476604,24.906208631716826,24.910958658963366,24.84919032003632,24.853799986882446,24.853139755632697,24.857642797376787,24.89937837136417,24.850968294565032,24.862845392456684,24.902696100776957,24.876123855823842,24.83539244315155,24.809422218294692,25.140732839610813,25.136095474546924,24.793382417804445,24.839361345269857
P00547,24.50867568474357,24.416488182555046,24.465928773769633,24.33788307553024,24.523240611714705,24.6056476793083,24.507051980136595,24.48425133826377,24.410959910409414,24.57130701809023,23.966474457081926,23.962672199127688,24.112274542713084,23.99847504117899,23.981632446288558,23.991084026412743,23.963856379439154,24.036627840162925,24.041548214461752,23.956088428211217,24.31188053826466,24.267078895554846,23.969307389828554,24.06992700052057
P00550,21.355579935531058,21.495057224452356,21.300690954063473,21.592175239430468,21.52483319415241,21.34333948272818,21.496063379193977,21.618903742918278,21.634704675149912,21.260476478188448,21.1179471046416,21.11082320163274,20.952181324326357,21.07212924418401,21.120523525977813,21.02729921072717,21.132000018662524,21.05985105769504,21.049686939292364,20.999536332335186,21.41624760467688,21.502674323815842,20.962444740418555,21.11168279413333
