rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
A5A614,18.05900264593239,18.294065592140278,18.277996185076738,18.224504826219146,17.299881037477906,17.52120721427236,17.398594803980846,17.159642404008764,17.592079938633827,17.386699540975307,17.197242406521386,17.048135627455583,17.442932028975342,17.391028583625037,17.88615531012784
O32583,18.500941616368156,19.417839811416677,18.761618996690974,19.35241822092868,18.853356637019928,18.714817903661626,19.351277196915518,19.02653992378723,18.89481455650787,18.561297732203037,18.808982902942187,18.77102179835445,18.972483422232695,18.531361150724745,19.221052704466352
P00350,25.29625390832107,25.239847409191654,25.28735526926143,25.12907277038293,25.412966191691563,25.435628821579485,25.405408465070238,25.46477789835122,25.43088649647761,25.381757049532272,25.453933831521198,25.440594683309378,25.47353334051311,25.43000787692178,25.370335870596904
P00363,23.614939691291667,23.47800310929126,23.657006730960997,22.936171264965026,22.993916972333263,23.044557000632647,23.060283893867066,23.119709025953807,23.141726978751997,23.103409142189896,23.08378562393689,23.06047166782498,23.3167492426121,23.390281834473978,23.38546693457121
P00370,24.576739219466653,24.381070955530912,24.57764717351903,24.321383876915707,24.695240728356335,24.735097688662993,24.86785366424988,24.728273464541434,24.870543574152087,24.845908808053007,24.951009158233425,24.82123632175043,25.136585333072567,25.05494392339901,24.432142156271166
P00393,22.44585628737279,22.452481267872386,22.447104651619078,22.625814482505056,22.59150690383109,22.540539866603744,22.520131348205446,22.530395018182837,22.60392788672597,22.4801066804538,22.621956232683054,22.58953823981932,22.605478552432928,22.688463372800463,22.59055646400109
P00448,25.141468727017227,25.52261751082151,24.86419373274189,25.69971247845872,24.672488640370652,24.712169954904255,24.90235030594166,24.331139810692562,24.51615432410427,24.340299181459933,24.494218653565234,24.755040747457073,24.595371904136293,24.226498492971302,25.33798888818921
P00452,22.640846540568504,22.64214517115802,22.651445639413865,22.84570831042143,22.645662312963623,22.580547369203963,22.389106255564222,22.667319685119097,22.6060723406775,22.542054012304305,22.603368453394893,22.593326422193208,22.604199943629297,22.60352686943863,22.868375196637977
P00490,21.94620503241891,22.062442490352776,21.92250871843995,22.286634447761706,22.90826285477032,22.842843448908713,22.655491996353994,22.87378816789474,22.904878499107316,22.956577655514014,22.99563316047973,23.001930941374027,22.999472117901576,22.995204534998283,22.29319201840617
P00509,24.865711282507974,24.986267095569346,24.911292929881427,24.907461231763058,24.85505258692868,24.854392355678932,24.85889539742302,24.9006309714104,24.852220894611264,24.86409799250292,24.903948700823193,24.877376455870078,24.836645043197784,24.810674818340928,25.14198543965705
P00547,24.50472302281036,24.461976111836428,24.601695017375093,24.480298676330563,23.962521795148717,23.958719537194483,24.108321880779876,23.994522379245787,23.977679784355352,23.987131364479538,23.959903717505945,24.032675178229717,24.037595552528543,23.952135766278012,24.307927876331455
P00550,21.370191043997373,21.31530206252979,21.357950591194495,21.63351485138459,21.132558213107913,21.125434310099052,20.966792432792673,21.086740352650324,21.135134634444128,21.041910319193484,21.146611127128836,21.074462166161354,21.064298047758676,21.0141474408015,21.430858713143195
P00561,25.79370671665109,25.66134644014339,25.789315372595155,26.087332644688814,25.5214169848488,25.473716892528287,25.363642572855184,25.43324274576942,25.50355429095209,25.379498079552846,25.538700524869764,25.49717935141822,25.565871143890885,25.556608142422093,25.79054241437913
P00562,21.922808930649797,21.77860244110419,21.99225614617098,21.541597793014255,22.24476953587482,22.16712190508719,21.93308883759348,22.22215931487567,22.22832351190876,22.084657164630872,22.237107084840034,22.176794199782847,22.28465400288487,22.368283014268886,21.801843732081906
P00579,22.668324039035507,22.648593838604018,22.691692316652446,22.741246092187918,22.707521985224826,22.6479224751331,22.702782611319435,22.70063900518224,22.715204764357626,22.68564155653345,22.694004577387485,22.664980068847495,22.682826769961682,22.652565520254164,22.633457631082823
P00579;P13445,18.702401641913756,19.396219615080867,19.147999920251074,18.87640636057828,19.51541407537968,19.38253275262366,19.66936754334296,19.380224847608226,19.57672532977335,19.19993199856669,19.500551642828118,19.721792110355864,19.428858331190177,19.40633797844628,19.60670765308906
P00582,22.080957648009555,22.090138070043537,22.055073851734594,22.155318242850562,22.076236308354144,22.073462892190193,21.866277769274603,22.062272749766713,21.968189242915084,21.884415003051018,22.00159122276252,21.96249525620724,21.98341871622271,21.987858194564772,22.1165716283427
P00634,19.969695654407033,20.140221425652697,20.062662242651413,20.350435779546295,19.784574701314042,19.80167524144497,19.887941656313828,19.693171930811644,19.805978369467837,19.850847850051892,19.821723662968836,19.698797156431446,19.88099352523647,19.66226106608447,19.989590536286855
P00803,21.83212213454077,21.76336516028047,21.929697603820696,21.748209821833232,21.687382967518992,21.650871061084043,21.698807778401434,21.724313071188018,21.592413292929447,21.68355995153203,21.71270485226006,21.591214893888665,21.673676453857578,21.58091790760097,21.74508688123826
P00805,23.5253790144046,23.895126806012144,23.830974928198813,22.830845209708485,21.563393468369078,21.538852911023575,21.543934452143148,21.516510246027572,21.938441800496463,22.09895981822669,21.72488713513468,21.81132661759316,22.168660720935627,22.093765637692826,23.30770790335888
P00811,19.80080735271429,19.705328488323225,19.743676285994443,19.665587249584824,19.73972708142177,19.786194291930254,19.750719147879046,19.887836769732488,19.732975755412358,19.81571365740273,19.727414638031536,19.733381276630027,19.713375458205093,19.703781141152387,19.71918043473089
