rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3
A5A614	20.571458520424038	20.220188244496768	19.679511375194473	20.425268871189566	19.880475218584163	20.152296278242524	20.018531783685113	19.141490196706805	20.200698851761267	19.97104490834481	19.891277960924096	18.44640458029308	18.14864544092388	18.738225962543222	18.517735416519066	18.703163458664122	18.375495970504627	18.590335647391374	18.66435437511731	18.828904443178835	17.338316891555976	18.602879479599327	18.833998098734693
O32583	20.721255729417965	20.559429161489465	20.848938380018822	21.42705908811341	19.873910205394115	20.94726811243867	21.339634333466304	19.714652874252746	21.186435717489445	20.710740163403816	20.962992606060286	20.13822524068576	19.869069945830255	20.268777991386706	19.07900701320492	19.43211135556202	19.38427664434501	19.72452181102449	19.584797002993458	20.054446286686005	19.583058534397203	19.493872787097324	19.632496124650903
P00350	26.483815831566638	26.472012632461812	26.55365617008016	26.41516187140374	26.54071172153185	26.477232171201138	26.336449672126406	26.579779064364665	26.459995935385223	26.507338738986107	26.524976868718824	26.661719169101225	26.783676667618366	26.770841358885733	26.71856950455878	26.76914569609402	26.680510653051257	26.783723066223594	26.733260702356326	26.672333889906824	26.679383855220323	26.79003789369073	26.806070606671483
P00363	24.147139854285246	24.162102081461097	24.18850612220512	23.327895004249875	24.834463677078165	24.08119727321965	23.461264365101293	24.506057089337197	23.802270759301823	24.001987965376003	23.994048583907976	23.63831567223921	23.74030080789254	24.03376673481296	23.932276967548383	23.965914461113936	23.906564998713623	24.021914032487555	24.014890784424956	24.025345671165162	23.831526400035344	24.34621933872498	24.058197084339994
P00370	25.491450382504553	25.36916060727127	25.274703893108928	25.476581343156333	26.00113936600889	25.412667019608907	25.24160140488327	25.681571055654775	25.14779331783699	25.373618840493204	25.355381111980712	25.59875407291755	25.70053686141931	25.89090921997909	26.032357150458235	25.955275633061056	25.947842390169985	26.046427809474288	26.004884041834803	25.777412285903917	25.661054762800827	26.1103001017661	25.94721241409837
P00393	23.644617642884384	23.665542125171427	23.968911895108782	23.869227651053215	23.696157583787155	23.659989492630203	23.79683877943301	23.818775639644585	23.75923923846934	23.844006374434073	23.892354473617807	23.509280571070384	23.779864982076006	23.75694863119707	24.0341182586968	23.94185060496796	23.827232360692776	23.836026533162155	23.97017802289536	23.669834306111746	23.763137394296933	23.827470532664883	23.875721886129668
P00448	26.3770179165157	26.37445810209626	26.45528180742838	26.9592337680827	25.828036017431845	26.731117952178003	26.82752141661943	25.858251660103047	26.834955127252556	26.60804065103429	26.633869776340518	25.617351524628038	25.56106566597163	25.81529952440095	25.788212277431782	25.947424377433084	25.469210776563845	25.830951357869576	25.7971944583451	25.594578486259632	25.377045329938433	25.95318723686449	25.750561366929375
P00452	23.95046694990172	24.063123454429434	24.141661433906926	24.230890617761453	23.8298795850344	23.93776134542083	24.309793057299284	24.294134667405842	24.088272562352568	24.177090943786357	24.23913836495157	23.617427607768786	23.850423280142884	23.93548613259668	24.10799940163307	24.18000921168628	24.33838203506513	23.97604971392697	23.99754387404106	23.659078065313516	23.640981030049932	23.9008810178022	23.962479576734005
P00490	22.872409507297128	22.903987064067273	23.175031365678866	23.235584509418256	23.089248072333262	23.00728696994117	23.26267027782007	23.22078410829389	23.14198879838761	23.125826864314824	23.211795975754388	23.767437140201515	23.955459237203353	23.955018180963595	24.06711514173575	24.00721774762925	24.18827947809214	24.08126264148483	24.032242707724293	23.901869857418795	24.080959487081827	23.94015504781464	24.02673551554299
P00509	25.98297295253199	26.041118167836373	26.260737905784513	26.12433300505922	26.236168911751207	26.125019056660502	26.12798818279913	26.072086576511662	26.05365808420872	26.201680002226745	26.283090911259684	25.800949547618046	25.934785230658992	26.146999246427125	26.031263058429225	26.025565545517946	25.981455287564128	26.106901192906484	26.03758202619975	25.875157974217178	25.863579605642673	26.066668856275516	26.119966079674576
